Genus	Species	Variety	English name	Name	FASTA
Brassica 	nigra			C2ONT	https://cruciferseq.ca/downloads/brassica_nigra/c2lr/Bnigra_C2.v1.genome.fasta.gz
Brassica 	carinata			ASM4058406v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/584/065/GCA_040584065.1_ASM4058406v1/GCA_040584065.1_ASM4058406v1_genomic.fna.gz
Brassica 	napus			Da-Ae	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/379/485/GCF_020379485.1_Da-Ae/GCF_020379485.1_Da-Ae_genomic.fna.gz
Brassica 	rapa			CAAS_Brap_v3.01	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/309/985/GCF_000309985.2_CAAS_Brap_v3.01/GCF_000309985.2_CAAS_Brap_v3.01_genomic.fna.gz
Brassica 	cretica			B_cretica_A_v2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/260/655/GCA_003260655.2_B_cretica_A_v2/GCA_003260655.2_B_cretica_A_v2_genomic.fna.gz
Brassica 	napus			bnapus_darmor_bzh_v10	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/905/183/035/GCA_905183035.1_bnapus_darmor_bzh_v10/GCA_905183035.1_bnapus_darmor_bzh_v10_genomic.fna.gz
Brassica 	carinata			ASM1677196v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/771/965/GCA_016771965.1_ASM1677196v1/GCA_016771965.1_ASM1677196v1_genomic.fna.gz
Brassica 	cretica			B_cretica_D_v2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/260/675/GCA_003260675.2_B_cretica_D_v2/GCA_003260675.2_B_cretica_D_v2_genomic.fna.gz
Brassica	rapa			Brassica_rapa_FPsc_v1.3	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/434/825/GCA_003434825.1_Brassica_rapa_FPsc_v1.3/GCA_003434825.1_Brassica_rapa_FPsc_v1.3_genomic.fna.gz
Brassica	rapa	trilocularis		SCU_BraROA_2.3	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/639/395/GCA_017639395.1_SCU_BraROA_2.3/GCA_017639395.1_SCU_BraROA_2.3_genomic.fna.gz
Brassica	napus			AST_PRJEB5043_v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/751/015/GCA_000751015.1_AST_PRJEB5043_v1/GCA_000751015.1_AST_PRJEB5043_v1_genomic.fna.gz
Brassica 	carinata			C4012	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/550/855/GCA_040550855.1_C4012/GCA_040550855.1_C4012_genomic.fna.gz
Brassica 	rapa			brapa_z1_v2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/412/535/GCA_900412535.3_brapa_z1_v2/GCA_900412535.3_brapa_z1_v2_genomic.fna.gz
Brassica 	napus			ASM3867728v1	https://download.cncb.ac.cn/assembly/ncbi/Plants/GCA/038/677/Brassica_napus_rape_ASM3867728v1_GCA_038677285.1/GCA_038677285.1_ASM3867728v1_genomic.fna.gz
Brassica	rapa	chinensis		AiJiaoBai	https://download.cncb.ac.cn/gwh/Plants/Brassica_rapa_subsp._chinensis_AiJiaoBai_GWHERGL00000000/GWHERGL00000000.genome.fasta.gz
Brassica	rapa	purpuraria		HongShanCaiTai	https://download.cncb.ac.cn/gwh/Plants/Brassica_rapa_var._purpuraria_HongShanCaiTai_GWHERGM00000000/GWHERGM00000000.genome.fasta.gz
Brassica	rapa			MIZ	https://download.cncb.ac.cn/gwh/Plants/Brassica_rapa_MIZ_GWHAAZX00000000/GWHAAZX00000000.genome.fasta.gz
Brassica	juncea			Xcgenome	https://download.cncb.ac.cn/gwh/Plants/Brassica_juncea_XC_genome_GWHCAYN00000000/GWHCAYN00000000.genome.fasta.gz
Brassica	juncea			PM	https://download.cncb.ac.cn/gwh/Plants/Brassica_juncea_PM_GWHFIKA00000000.1/GWHFIKA00000000.1.genome.fasta.gz
Brassica	juncea			HJ	https://download.cncb.ac.cn/gwh/Plants/Brassica_juncea_HJ_GWHFQTP00000000.1/GWHFQTP00000000.1.genome.fasta.gz
Brassica	nigra			Bnigra_NI100.v2	https://cruciferseq.ca/downloads/brassica_nigra/ni100lr/Bnigra_NI100.v2.genome.fasta.gz
Brassica	oleracea	botrytis	cauliflower	Cauliflower	https://download.cncb.ac.cn/gwh/Plants/Brassica_oleracea_var._botrytis_Cauliflower_GWHBKKZ00000000/GWHBKKZ00000000.genome.fasta.gz
Brassica	oleracea	botrytis	cauliflower	T25	https://download.cncb.ac.cn/gwh/Plants/Brassica_oleracea_var._botrytis_T25_GWHDTYM00000000/GWHDTYM00000000.genome.fasta.gz
Brassica	oleracea	botrytis	cauliflower	BobV2	https://download.cncb.ac.cn/gwh/Plants/Brassica_oleracea_var._botrytis_BobV2_GWHBJSH00000000/GWHBJSH00000000.genome.fasta.gz
Brassica	oleracea	botrytis	cauliflower	Korso	https://figshare.com/ndownloader/files/27622721
Brassica	oleracea	botrytis	cauliflower	T21	https://download.cncb.ac.cn/gwh/Plants/Brassica_oleracea_var._italica_T21_GWHDUBS00000000/GWHDUBS00000000.genome.fasta.gz
Brassica	oleracea	oleracea		BOL	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/695/525/GCF_000695525.1_BOL/GCF_000695525.1_BOL_genomic.fna.gz
Brassica	oleracea	italica	broccoli	broccoli	https://download.cncb.ac.cn/gwh/Plants/Brassica_oleracea_var._italica_broccoli_GWHBKLA00000000/GWHBKLA00000000.genome.fasta.gz
Brassica 	oleracea			HDEM	https://www.genoscope.cns.fr/externe/plants/data/BoleraceaHDEM_chromosomes.fasta
Brassica 	oleracea	capitata		OX-Heart	https://figshare.com/ndownloader/files/27622727
Brassica 	oleracea	italica	broccoli	T24	https://download.cncb.ac.cn/gwh/Plants/Brassica_oleracea_var._italica_T24_GWHDTYK00000000/GWHDTYK00000000.genome.fasta.gz
Brassica 	oleracea	alboglabra	chinese kale	T19	https://download.cncb.ac.cn/gwh/Plants/Brassica_oleracea_var._alboglabra_T19_GWHDTYL00000000/GWHDTYL00000000.genome.fasta.gz
Brassica 	oleracea	gemmifera	brussels sprouts	T08	https://download.cncb.ac.cn/gwh/Plants/Brassica_oleracea_var._gemmifera_T08_GWHDUBL00000000/GWHDUBL00000000.genome.fasta.gz
Brassica 	oleracea		wild cabbage	JZS_v2	https://download.cncb.ac.cn/gwh/Plants/Brassica_oleracea_JZS_v2_GWHAASO00000000/GWHAASO00000000.genome.fasta.gz
Brassica 	oleracea	viridis	collard greens	T17	https://download.cncb.ac.cn/gwh/Plants/Brassica_oleracea_var._viridis_T17_GWHDUBP00000000/GWHDUBP00000000.genome.fasta.gz
Brassica 	oleracea	ramosa	perpetual kale	T16	https://download.cncb.ac.cn/gwh/Plants/Brassica_oleracea_var._ramosa_T16_GWHDTYH00000000/GWHDTYH00000000.genome.fasta.gz
Brassica 	oleracea	alboglabra	chinese kale	T11	https://download.cncb.ac.cn/gwh/Plants/Brassica_oleracea_var._alboglabra_T11_GWHDTYD00000000/GWHDTYD00000000.genome.fasta.gz
Brassica 	oleracea	costata	tronchuda kale	T15	https://download.cncb.ac.cn/gwh/Plants/Brassica_oleracea_var._costata_T15_GWHDTYG00000000/GWHDTYG00000000.genome.fasta.gz
Brassica 	oleracea	capitata	pointed cabbage	T04	https://download.cncb.ac.cn/gwh/Plants/Brassica_oleracea_var._capitata_T04_GWHDTWV00000000/GWHDTWV00000000.genome.fasta.gz
Brassica 	oleracea	capitata	flat cabbage	T02	https://download.cncb.ac.cn/gwh/Plants/Brassica_oleracea_var._capitata_T02_GWHDTWX00000000/GWHDTWX00000000.genome.fasta.gz
Brassica 	oleracea	gongylodes	kohlrabi	T07	https://download.cncb.ac.cn/gwh/Plants/Brassica_oleracea_var._gongylodes_T07_GWHDTYA00000000/GWHDTYA00000000.genome.fasta.gz
Brassica 	oleracea		savoy cabbage	T03	https://download.cncb.ac.cn/gwh/Plants/Brassica_oleracea_var._capitata_T03_GWHDTZV00000000/GWHDTZV00000000.genome.fasta.gz
Brassica 	oleracea		tree kale	T13	https://download.cncb.ac.cn/gwh/Plants/Brassica_oleracea_var._costata_T13_GWHDTYE00000000/GWHDTYE00000000.genome.fasta.gz
Brassica 	oleracea		round cabbage	T06	https://download.cncb.ac.cn/gwh/Plants/Brassica_oleracea_var._italica_T06_GWHDTYJ00000000/GWHDTYJ00000000.genome.fasta.gz
Brassica 	oleracea		kohlrabi	T27	https://download.cncb.ac.cn/gwh/Plants/Brassica_oleracea_var._italica_T27_GWHDUBT00000000/GWHDUBT00000000.genome.fasta.gz
Brassica 	oleracea		lacinato kale	T12	https://download.cncb.ac.cn/gwh/Plants/Brassica_oleracea_T12_GWHDUBH00000000/GWHDUBH00000000.genome.fasta.gz
Brassica 	oleracea		scotch kale	T26	https://download.cncb.ac.cn/gwh/Plants/Brassica_oleracea_var._viridis_T26_GWHDTZU00000000/GWHDTZU00000000.genome.fasta.gz
Brassica 	oleracea		scotch kale	T14	https://download.cncb.ac.cn/gwh/Plants/Brassica_oleracea_var._viridis_T14_GWHDUBR00000000/GWHDUBR00000000.genome.fasta.gz
Brassica 	oleracea		ornamental kale	T18	https://download.cncb.ac.cn/gwh/Plants/Brassica_oleracea_var._viridis_T18_GWHDUBM00000000/GWHDUBM00000000.genome.fasta.gz
Brassica 	oleracea		wild cabbage	T09	https://download.cncb.ac.cn/gwh/Plants/Brassica_oleracea_T09_GWHDUBJ00000000/GWHDUBJ00000000.genome.fasta.gz
Brassica 	oleracea		wild cabbage	T10	https://download.cncb.ac.cn/gwh/Plants/Brassica_oleracea_T10_GWHDUBI00000000/GWHDUBI00000000.genome.fasta.gz
Brassica	oleracea		wild cabbage	W1701	https://download.cncb.ac.cn/gwh/Plants/Brassica_oleracea_W1701_GWHEQVL00000000/GWHEQVL00000000.genome.fasta.gz
Brassica	oleracea		wild cabbage	PL021	https://download.cncb.ac.cn/gwh/Plants/Brassica_oleracea_PL021_GWHEQVN00000000/GWHEQVN00000000.genome.fasta.gz
Brassica	oleracea		wild cabbage	M249	https://download.cncb.ac.cn/gwh/Plants/Brassica_oleracea_M249_GWHEQVE00000000/GWHEQVE00000000.genome.fasta.gz
Brassica	oleracea		wild cabbage	06-9-28'	https://download.cncb.ac.cn/gwh/Plants/Brassica_oleracea_W1701_GWHEQVJ00000000/GWHEQVJ00000000.genome.fasta.gz
Brassica	oleracea		wild cabbage	D101	https://download.cncb.ac.cn/gwh/Plants/Brassica_oleracea_D101_GWHEQVO00000000/GWHEQVO00000000.genome.fasta.gz
Brassica 	oleracea		wild cabbage	07-DH-33	https://download.cncb.ac.cn/gwh/Plants/Brassica_oleracea_07-DH-33_GWHEQVM00000000/GWHEQVM00000000.genome.fasta.gz
