#Tables for different size types:
#1 Number of proteins (members)
#2 Number of genomes

#1 Number of proteins
proteins,frequency,percentage of total groups (141722)
1,61130,43.13
2,18025,12.72
3,9779,6.90
4,6382,4.50
5,4405,3.11
6,3373,2.38
7,2563,1.81
8,2106,1.49
9,1800,1.27
10,1619,1.14
11,1470,1.04
12,1416,1.00
13,1919,1.35
14,2857,2.02
15,8738,6.17
16,6498,4.59
17,1179,0.83
18,402,0.28
19,283,0.20
20,225,0.16
21,223,0.16
22,187,0.13
23,186,0.13
24,144,0.10
25,137,0.10
26,156,0.11
27,182,0.13
28,208,0.15
29,308,0.22
30,497,0.35
31,1089,0.77
32,402,0.28
33,133,0.09
34,89,0.06
35,60,0.04
36,52,0.04
37,43,0.03
38,45,0.03
39,50,0.04
40,53,0.04
41,56,0.04
42,54,0.04
43,84,0.06
44,91,0.06
45,119,0.08
46,203,0.14
47,124,0.09
48,54,0.04
49,28,0.02
50,20,0.01
51,21,0.01
52,16,0.01
53,12,0.01
54,18,0.01
55,10,0.01
56,14,0.01
57,9,0.01
58,19,0.01
59,15,0.01
60,21,0.01
61,19,0.01
62,25,0.02
63,19,0.01
64,11,0.01
65,3,0.00
66,6,0.00
67,8,0.01
68,9,0.01
69,4,0.00
70,7,0.00
71,9,0.01
72,8,0.01
73,11,0.01
74,4,0.00
75,11,0.01
76,15,0.01
77,9,0.01
78,7,0.00
79,9,0.01
80,8,0.01
81,5,0.00
82,1,0.00
83,4,0.00
84,1,0.00
85,2,0.00
86,7,0.00
87,4,0.00
88,5,0.00
89,2,0.00
90,5,0.00
91,8,0.01
92,2,0.00
93,9,0.01
94,2,0.00
96,3,0.00
97,1,0.00
98,1,0.00
99,3,0.00
100,2,0.00
101,2,0.00
104,3,0.00
105,3,0.00
107,1,0.00
108,3,0.00
109,2,0.00
110,2,0.00
111,2,0.00
113,1,0.00
114,1,0.00
115,2,0.00
116,2,0.00
120,1,0.00
121,1,0.00
123,1,0.00
124,2,0.00
126,1,0.00
136,1,0.00
139,1,0.00
146,1,0.00
147,1,0.00
151,2,0.00
161,1,0.00
172,1,0.00
174,1,0.00
179,1,0.00
193,1,0.00
195,1,0.00
198,2,0.00
218,1,0.00
231,1,0.00
242,1,0.00
245,1,0.00
260,1,0.00
264,1,0.00
298,1,0.00
314,1,0.00


#2 Number of genomes (maximum of 16)
genomes,frequency,percentage of total groups (141722)
1,63937,45.11
2,18024,12.72
3,9422,6.65
4,6016,4.24
5,4216,2.97
6,3248,2.29
7,2556,1.80
8,2059,1.45
9,1748,1.23
10,1617,1.14
11,1509,1.06
12,1512,1.07
13,2127,1.50
14,3262,2.30
15,10171,7.18
16,10298,7.27
