#Please be aware that not every genome will have a gene in accessory groups
Homology group,Class,Genome number,Number of copies,Genome 1,Genome 2,Genome 3,Genome 4
60261,accessory,1,1,,1,,,
60261,accessory,3,1,,1,,,
60261,accessory,4,1,,1,,,
60262,accessory,1,1,,1,,,
60262,accessory,3,1,,1,,,
60262,accessory,4,1,,1,,,
60264,accessory,1,1,,1,,,
60264,accessory,3,1,,1,,,
60264,accessory,4,1,,1,,,
60266,accessory,1,1,,1,,,
60266,accessory,3,1,,1,,,
60266,accessory,4,1,,1,,,
60267,accessory,1,1,,1,,,
60267,accessory,3,1,,1,,,
60267,accessory,4,1,,1,,,
60268,accessory,1,1,,1,,,
60268,accessory,3,1,,1,,,
60268,accessory,4,1,,1,,,
60269,accessory,1,1,,1,1,,
60269,accessory,4,1,,1,1,,
60272,accessory,1,1,,1,,,
60272,accessory,3,1,,1,,,
60272,accessory,4,1,,1,,,
60274,accessory,1,1,,1,,,
60274,accessory,3,1,,1,,,
60274,accessory,4,1,,1,,,
60275,accessory,1,1,,1,,,
60275,accessory,3,1,,1,,,
60275,accessory,4,1,,1,,,
60277,accessory,1,1,,1,,,
60277,accessory,3,1,,1,,,
60277,accessory,4,1,,1,,,
60278,accessory,1,2,,2,,,
60278,accessory,3,2,,2,,,
60278,accessory,4,2,,2,,,
216418,accessory,1,1,,1,,,
216418,accessory,3,1,,1,,,
216418,accessory,4,1,,1,,,
216420,accessory,1,1,,1,,,
216420,accessory,3,1,,1,,,
216420,accessory,4,1,,1,,,
216421,accessory,1,2,,2,1,,
216421,accessory,4,2,,2,1,,
216424,accessory,1,1,,1,,,
216424,accessory,3,1,,1,,,
216424,accessory,4,1,,1,,,
216425,accessory,1,1,,1,,,
216425,accessory,3,1,,1,,,
216425,accessory,4,1,,1,,,
216426,accessory,1,1,,,1,,
216426,accessory,2,1,,,1,,
216426,accessory,4,1,,,1,,
216427,accessory,2,2,2,,1,2,
216432,accessory,1,1,,1,,,
216432,accessory,3,1,,1,,,
216432,accessory,4,1,,1,,,
216435,accessory,1,1,,1,,,
216435,accessory,3,1,,1,,,
