Homology group node id,class,Genome 1,Genome 2,Genome 3,Genome 4
60271,core & single copy orthologous,1,1,1,1
60276,core & single copy orthologous,1,1,1,1
216419,core & single copy orthologous,1,1,1,1
216422,core & single copy orthologous,1,1,1,1
216423,core & single copy orthologous,1,1,1,1
216431,core & single copy orthologous,1,1,1,1
216433,core & single copy orthologous,1,1,1,1
216434,core & single copy orthologous,1,1,1,1
216437,core & single copy orthologous,1,1,1,1
216440,core & single copy orthologous,1,1,1,1
216441,core & single copy orthologous,1,1,1,1
216447,core & single copy orthologous,1,1,1,1
216448,core & single copy orthologous,1,1,1,1
216455,core,2,1,2,2
216456,core & single copy orthologous,1,1,1,1
216458,core,4,4,4,4
216459,core & single copy orthologous,1,1,1,1
216463,core & single copy orthologous,1,1,1,1
216465,core & single copy orthologous,1,1,1,1
216470,core & single copy orthologous,1,1,1,1
216473,core,2,1,2,2
216474,core & single copy orthologous,1,1,1,1
216475,core & single copy orthologous,1,1,1,1
216483,core & single copy orthologous,1,1,1,1
216500,core & single copy orthologous,1,1,1,1
216502,core & single copy orthologous,1,1,1,1
216505,core & single copy orthologous,1,1,1,1
216508,core & single copy orthologous,1,1,1,1
216511,core & single copy orthologous,1,1,1,1
216512,core & single copy orthologous,1,1,1,1
216519,core,2,1,2,2
216520,core & single copy orthologous,1,1,1,1
216523,core & single copy orthologous,1,1,1,1
216525,core & single copy orthologous,1,1,1,1
216528,core & single copy orthologous,1,1,1,1
216534,core & single copy orthologous,1,1,1,1
216537,core,1,1,2,1
216540,core,2,1,2,2
216541,core & single copy orthologous,1,1,1,1
216542,core & single copy orthologous,1,1,1,1
216546,core,2,2,3,3
216547,core,3,1,1,1
216548,core & single copy orthologous,1,1,1,1
216555,core & single copy orthologous,1,1,1,1
216556,core & single copy orthologous,1,1,1,1
216560,core & single copy orthologous,1,1,1,1
216564,core & single copy orthologous,1,1,1,1
216565,core & single copy orthologous,1,1,1,1
216571,core & single copy orthologous,1,1,1,1
216573,core & single copy orthologous,1,1,1,1
216574,core & single copy orthologous,1,1,1,1
216587,core & single copy orthologous,1,1,1,1
216592,core,3,2,3,3
216607,core,2,1,2,2
216608,core & single copy orthologous,1,1,1,1
216609,core & single copy orthologous,1,1,1,1
216611,core & single copy orthologous,1,1,1,1
216613,core & single copy orthologous,1,1,1,1
216617,core & single copy orthologous,1,1,1,1
216619,core & single copy orthologous,1,1,1,1
216628,core,2,1,2,1
216630,core,3,2,3,3
216632,core & single copy orthologous,1,1,1,1
216634,core,3,5,6,6
216635,core,2,1,2,2
216636,core & single copy orthologous,1,1,1,1
216640,core & single copy orthologous,1,1,1,1
216643,core & single copy orthologous,1,1,1,1
216647,core,3,1,3,1
216652,core & single copy orthologous,1,1,1,1
216666,core & single copy orthologous,1,1,1,1
216672,core,1,1,1,2
216684,core & single copy orthologous,1,1,1,1
216687,core & single copy orthologous,1,1,1,1
216690,core & single copy orthologous,1,1,1,1
216697,core & single copy orthologous,1,1,1,1
216702,core,2,1,2,2
216704,core & single copy orthologous,1,1,1,1
216705,core & single copy orthologous,1,1,1,1
216712,core & single copy orthologous,1,1,1,1
216724,core & single copy orthologous,1,1,1,1
216732,core & single copy orthologous,1,1,1,1
216735,core & single copy orthologous,1,1,1,1
216738,core & single copy orthologous,1,1,1,1
216743,core & single copy orthologous,1,1,1,1
216745,core & single copy orthologous,1,1,1,1
216748,core,2,1,1,2
216749,core & single copy orthologous,1,1,1,1
216759,core & single copy orthologous,1,1,1,1
216765,core & single copy orthologous,1,1,1,1
216767,core,2,3,3,3
216768,core,2,2,2,2
216769,core,1,2,2,2
216770,core & single copy orthologous,1,1,1,1
216787,core & single copy orthologous,1,1,1,1
216810,core & single copy orthologous,1,1,1,1
216811,core & single copy orthologous,1,1,1,1
216815,core & single copy orthologous,1,1,1,1
216826,core & single copy orthologous,1,1,1,1
216836,core,2,2,3,3
216843,core & single copy orthologous,1,1,1,1
216848,core & single copy orthologous,1,1,1,1
216851,core & single copy orthologous,1,1,1,1
216891,core & single copy orthologous,1,1,1,1
216892,core & single copy orthologous,1,1,1,1
216893,core & single copy orthologous,1,1,1,1
216895,core & single copy orthologous,1,1,1,1
216896,core & single copy orthologous,1,1,1,1
216897,core & single copy orthologous,1,1,1,1
216898,core & single copy orthologous,1,1,1,1
216899,core & single copy orthologous,1,1,1,1
216900,core & single copy orthologous,1,1,1,1
216901,core & single copy orthologous,1,1,1,1
216902,core & single copy orthologous,1,1,1,1
216903,core & single copy orthologous,1,1,1,1
216904,core & single copy orthologous,1,1,1,1
216905,core & single copy orthologous,1,1,1,1
216906,core & single copy orthologous,1,1,1,1
216907,core & single copy orthologous,1,1,1,1
216931,core & single copy orthologous,1,1,1,1
216942,core & single copy orthologous,1,1,1,1
216968,core & single copy orthologous,1,1,1,1
216970,core,1,1,2,2
216971,core & single copy orthologous,1,1,1,1
216973,core & single copy orthologous,1,1,1,1
216977,core & single copy orthologous,1,1,1,1
216978,core & single copy orthologous,1,1,1,1
216979,core & single copy orthologous,1,1,1,1
216983,core & single copy orthologous,1,1,1,1
216985,core & single copy orthologous,1,1,1,1
216987,core & single copy orthologous,1,1,1,1
216992,core & single copy orthologous,1,1,1,1
216994,core & single copy orthologous,1,1,1,1
216996,core & single copy orthologous,1,1,1,1
216997,core & single copy orthologous,1,1,1,1
216998,core & single copy orthologous,1,1,1,1
217000,core & single copy orthologous,1,1,1,1
217005,core & single copy orthologous,1,1,1,1
217008,core & single copy orthologous,1,1,1,1
217009,core & single copy orthologous,1,1,1,1
217018,core,2,1,2,2
217019,core & single copy orthologous,1,1,1,1
217021,core & single copy orthologous,1,1,1,1
217027,core,2,1,1,1
217032,core,3,2,1,2
217033,core & single copy orthologous,1,1,1,1
217034,core & single copy orthologous,1,1,1,1
217036,core & single copy orthologous,1,1,1,1
217039,core & single copy orthologous,1,1,1,1
217043,core & single copy orthologous,1,1,1,1
217045,core,2,2,3,3
217046,core,1,2,1,2
217047,core,2,1,1,1
217048,core,2,1,1,1
217049,core & single copy orthologous,1,1,1,1
217057,core & single copy orthologous,1,1,1,1
217058,core & single copy orthologous,1,1,1,1
217059,core & single copy orthologous,1,1,1,1
217060,core & single copy orthologous,1,1,1,1
217064,core,2,2,2,2
217065,core,2,1,2,2
217093,core,2,1,1,1
217095,core & single copy orthologous,1,1,1,1
217139,core,3,1,1,1
217153,core,1,1,2,1
217155,core,3,1,1,1
217167,core,2,2,2,2
217230,core,2,1,3,1
217231,core & single copy orthologous,1,1,1,1
217235,core & single copy orthologous,1,1,1,1
217236,core,6,1,2,1
217237,core & single copy orthologous,1,1,1,1
217238,core & single copy orthologous,1,1,1,1
217241,core,1,2,1,2
217242,core & single copy orthologous,1,1,1,1
217243,core & single copy orthologous,1,1,1,1
217244,core & single copy orthologous,1,1,1,1
217245,core & single copy orthologous,1,1,1,1
217246,core & single copy orthologous,1,1,1,1
217249,core & single copy orthologous,1,1,1,1
217252,core & single copy orthologous,1,1,1,1
217253,core,1,1,2,1
217254,core & single copy orthologous,1,1,1,1
217262,core & single copy orthologous,1,1,1,1
217263,core & single copy orthologous,1,1,1,1
217265,core & single copy orthologous,1,1,1,1
217267,core & single copy orthologous,1,1,1,1
217268,core & single copy orthologous,1,1,1,1
217270,core & single copy orthologous,1,1,1,1
217271,core,10,10,10,12
217272,core & single copy orthologous,1,1,1,1
217278,core,3,3,6,3
217285,core & single copy orthologous,1,1,1,1
217286,core & single copy orthologous,1,1,1,1
217287,core & single copy orthologous,1,1,1,1
217292,core & single copy orthologous,1,1,1,1
217296,core & single copy orthologous,1,1,1,1
217297,core & single copy orthologous,1,1,1,1
217299,core & single copy orthologous,1,1,1,1
217312,core & single copy orthologous,1,1,1,1
217313,core & single copy orthologous,1,1,1,1
217314,core & single copy orthologous,1,1,1,1
217315,core,2,2,1,1
217316,core & single copy orthologous,1,1,1,1
217323,core & single copy orthologous,1,1,1,1
217324,core & single copy orthologous,1,1,1,1
217327,core & single copy orthologous,1,1,1,1
217328,core,5,5,5,5
217329,core,2,2,1,1
217330,core & single copy orthologous,1,1,1,1
217331,core & single copy orthologous,1,1,1,1
217332,core & single copy orthologous,1,1,1,1
217333,core & single copy orthologous,1,1,1,1
217334,core & single copy orthologous,1,1,1,1
217335,core & single copy orthologous,1,1,1,1
217336,core & single copy orthologous,1,1,1,1
217337,core & single copy orthologous,1,1,1,1
217338,core & single copy orthologous,1,1,1,1
217339,core & single copy orthologous,1,1,1,1
217340,core & single copy orthologous,1,1,1,1
217342,core & single copy orthologous,1,1,1,1
217345,core,2,2,2,2
217346,core & single copy orthologous,1,1,1,1
217347,core & single copy orthologous,1,1,1,1
217349,core & single copy orthologous,1,1,1,1
217353,core & single copy orthologous,1,1,1,1
217354,core & single copy orthologous,1,1,1,1
217359,core,4,4,4,4
217360,core & single copy orthologous,1,1,1,1
217361,core,2,1,1,1
217362,core & single copy orthologous,1,1,1,1
217366,core & single copy orthologous,1,1,1,1
217367,core,1,2,2,2
217368,core & single copy orthologous,1,1,1,1
217369,core & single copy orthologous,1,1,1,1
217370,core & single copy orthologous,1,1,1,1
217371,core & single copy orthologous,1,1,1,1
217372,core & single copy orthologous,1,1,1,1
217373,core & single copy orthologous,1,1,1,1
217375,core & single copy orthologous,1,1,1,1
217376,core & single copy orthologous,1,1,1,1
217378,core & single copy orthologous,1,1,1,1
217379,core & single copy orthologous,1,1,1,1
217380,core & single copy orthologous,1,1,1,1
217381,core & single copy orthologous,1,1,1,1
217382,core & single copy orthologous,1,1,1,1
217383,core & single copy orthologous,1,1,1,1
217384,core & single copy orthologous,1,1,1,1
217388,core & single copy orthologous,1,1,1,1
217393,core & single copy orthologous,1,1,1,1
217395,core & single copy orthologous,1,1,1,1
217396,core & single copy orthologous,1,1,1,1
217397,core & single copy orthologous,1,1,1,1
217398,core,3,1,2,2
217399,core & single copy orthologous,1,1,1,1
217401,core & single copy orthologous,1,1,1,1
217402,core & single copy orthologous,1,1,1,1
217403,core & single copy orthologous,1,1,1,1
217404,core & single copy orthologous,1,1,1,1
217405,core & single copy orthologous,1,1,1,1
217408,core & single copy orthologous,1,1,1,1
217410,core & single copy orthologous,1,1,1,1
217412,core & single copy orthologous,1,1,1,1
217413,core & single copy orthologous,1,1,1,1
217414,core,2,2,1,1
217415,core & single copy orthologous,1,1,1,1
217417,core & single copy orthologous,1,1,1,1
217419,core & single copy orthologous,1,1,1,1
217420,core & single copy orthologous,1,1,1,1
217421,core & single copy orthologous,1,1,1,1
217422,core,4,11,11,11
217423,core,3,5,5,5
217424,core & single copy orthologous,1,1,1,1
217426,core & single copy orthologous,1,1,1,1
217428,core & single copy orthologous,1,1,1,1
217429,core & single copy orthologous,1,1,1,1
217430,core & single copy orthologous,1,1,1,1
217431,core & single copy orthologous,1,1,1,1
217432,core & single copy orthologous,1,1,1,1
217433,core & single copy orthologous,1,1,1,1
217434,core & single copy orthologous,1,1,1,1
217435,core & single copy orthologous,1,1,1,1
217437,core,2,2,2,2
217438,core & single copy orthologous,1,1,1,1
217441,core & single copy orthologous,1,1,1,1
217442,core & single copy orthologous,1,1,1,1
217443,core & single copy orthologous,1,1,1,1
217444,core,2,2,2,2
217455,core & single copy orthologous,1,1,1,1
217459,core & single copy orthologous,1,1,1,1
217460,core & single copy orthologous,1,1,1,1
