#Tables for different size types:
#1 Number of proteins (members)
#2 Number of genomes

#1 Number of proteins
proteins,frequency,percentage of total groups (85240)
1,34863,40.90
2,10341,12.13
3,9552,11.21
4,27429,32.18
5,1311,1.54
6,503,0.59
7,365,0.43
8,345,0.40
9,114,0.13
10,83,0.10
11,64,0.08
12,99,0.12
13,24,0.03
14,17,0.02
15,17,0.02
16,16,0.02
17,14,0.02
18,11,0.01
19,9,0.01
20,13,0.02
21,5,0.01
22,3,0.00
23,5,0.01
24,8,0.01
25,3,0.00
26,2,0.00
27,1,0.00
28,1,0.00
29,3,0.00
30,2,0.00
31,1,0.00
33,1,0.00
34,2,0.00
35,1,0.00
37,1,0.00
39,1,0.00
40,1,0.00
42,1,0.00
45,1,0.00
50,1,0.00
56,1,0.00
66,1,0.00
83,1,0.00
85,1,0.00
105,1,0.00
295,1,0.00


#2 Number of genomes (maximum of 4)
genomes,frequency,percentage of total groups (85240)
1,36688,43.04
2,10391,12.19
3,9373,11.00
4,28788,33.77
