homology_group,1,2,3,4
60261,1,0,1,1
60262,1,0,1,1
60263,1,0,0,0
60264,1,0,1,1
60265,1,0,0,0
60266,1,0,1,1
60267,1,0,1,1
60268,1,0,1,1
60269,1,0,0,1
60270,1,0,0,0
60271,1,1,1,1
60272,1,0,1,1
60273,1,0,0,0
60274,1,0,1,1
60275,1,0,1,1
60276,1,1,1,1
60277,1,0,1,1
60278,1,0,1,1
60279,1,0,0,0
216418,1,0,1,1
216419,1,1,1,1
216420,1,0,1,1
216421,1,0,1,1
216422,1,1,1,1
216423,1,1,1,1
216424,1,0,1,1
216425,1,0,1,1
216426,1,1,0,1
216427,0,1,1,0
216428,0,1,0,0
216429,0,0,1,0
216430,1,0,0,0
216431,1,1,1,1
216432,1,0,1,1
216433,1,1,1,1
216434,1,1,1,1
216435,1,0,1,1
216436,1,0,0,0
216437,1,1,1,1
216438,1,0,1,1
216439,1,0,0,0
216440,1,1,1,1
216441,1,1,1,1
216442,1,0,1,1
216443,1,0,0,0
216444,1,0,1,1
216445,1,0,1,1
216446,1,0,0,1
216447,1,1,1,1
216448,1,1,1,1
216449,1,0,0,1
216450,0,0,1,0
216451,1,0,0,0
216452,1,0,1,1
216453,1,0,1,1
216454,1,0,0,0
216455,1,1,1,1
216456,1,1,1,1
216457,1,0,1,1
216458,1,1,1,1
216459,1,1,1,1
216460,1,0,1,1
216461,1,0,1,1
216462,0,1,1,1
216463,1,1,1,1
216464,1,0,1,1
216465,1,1,1,1
216466,1,0,1,1
216467,1,0,1,1
216468,1,0,0,0
216469,1,0,1,1
216470,1,1,1,1
216471,1,0,1,1
216472,1,0,1,1
216473,1,1,1,1
216474,1,1,1,1
216475,1,1,1,1
216476,1,0,1,1
216477,1,0,1,1
216478,1,0,1,1
216479,1,0,1,1
216480,1,0,1,1
216481,1,1,1,0
216482,1,0,1,0
216483,1,1,1,1
216484,1,0,1,1
216485,0,0,1,1
216486,1,1,0,0
216487,1,0,0,1
216488,1,0,0,1
216489,1,0,0,0
216490,1,0,0,0
216491,1,0,1,1
216492,1,0,1,0
216493,1,0,1,1
216494,1,0,1,1
216495,1,0,1,1
216496,1,0,1,1
216497,1,0,1,1
216498,1,0,0,0
216499,1,0,1,1
216500,1,1,1,1
216501,1,0,0,0
216502,1,1,1,1
216503,1,0,1,1
216504,1,0,1,1
216505,1,1,1,1
216506,1,0,1,1
216507,1,0,1,1
216508,1,1,1,1
216509,1,0,1,1
216510,0,1,1,1
216511,1,1,1,1
216512,1,1,1,1
216513,1,0,1,1
216514,1,0,1,1
216515,1,0,1,1
216516,1,0,1,1
216517,1,0,1,1
216518,1,0,1,1
216519,1,1,1,1
216520,1,1,1,1
216521,1,0,1,1
216522,1,0,1,1
216523,1,1,1,1
216524,1,0,1,1
216525,1,1,1,1
