	27622715.filtered.gff	Bnigra_NI100.v2.genes.filtered.gff	GCF_000309985.2_CAAS_Brap_v3.01_genomic.filtered.gff	GCF_000695525.1_BOL_genomic.filtered.gff	GWHBKLA00000000.filtered.gff	GWHDTYL00000000.filtered.gff	GWHERGL00000000.filtered.gff	OX_heart.filtered.gff
gene	60640.0	59852.0	49720.0	49563.0	59398.0	52658.0	49308.0	62232.0
mRNA	70412.0	59852.0	60607.0	56685.0	59398.0	52658.0	49308.0	68277.0
exon	348083.0	259702.0	436796.0	398922.0	287794.0	259490.0	237121.0	320928.0
CDS	333333.0	259702.0	341405.0	305897.0	282490.0	259490.0	237121.0	309886.0
five_prime_UTR	47018.0	0.0	0.0	0.0	0.0	0.0	0.0	38262.0
three_prime_UTR	41655.0	0.0	0.0	0.0	0.0	0.0	0.0	33465.0
region	0.0	0.0	1100.0	32886.0	0.0	0.0	0.0	0.0
lnc_RNA	0.0	0.0	7065.0	7942.0	0.0	0.0	0.0	0.0
pseudogene	0.0	0.0	1869.0	4495.0	0.0	0.0	0.0	0.0
snoRNA	0.0	0.0	1156.0	0.0	0.0	0.0	0.0	0.0
tRNA	0.0	0.0	1100.0	995.0	0.0	0.0	0.0	0.0
transcript	0.0	0.0	2995.0	2089.0	0.0	0.0	0.0	0.0
snRNA	0.0	0.0	149.0	0.0	0.0	0.0	0.0	0.0
rRNA	0.0	0.0	1382.0	3.0	0.0	0.0	0.0	0.0
primary_transcript	0.0	0.0	88.0	0.0	0.0	0.0	0.0	0.0
miRNA	0.0	0.0	146.0	0.0	0.0	0.0	0.0	0.0
cDNA_match	0.0	0.0	3594.0	5906.0	0.0	0.0	0.0	0.0
inverted_repeat	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
direct_repeat	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
sequence_feature	0.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0
