	27622715.raw.pep.faa	Bnigra_C2.v1.genes.raw.pep.faa	Bnigra_NI100.v2.genes.raw.pep.faa	BoleraceaHDEM_annotation.raw.pep.faa	GCA_000751015.1_AST_PRJEB5043_v1_genomic.raw.pep.faa	GCA_003260655.2_B_cretica_A_v2_genomic.raw.pep.faa	GCA_003260675.2_B_cretica_D_v2_genomic.raw.pep.faa	GCA_003434825.1_Brassica_rapa_FPsc_v1.3_genomic.raw.pep.faa	GCA_016771965.1_ASM1677196v1_genomic.raw.pep.faa	GCA_017639395.1_SCU_BraROA_2.3_genomic.raw.pep.faa	GCA_038677285.1_ASM3867728v1_genomic.raw.pep.faa	GCA_040550855.1_C4012_genomic.raw.pep.faa	GCA_040584065.1_ASM4058406v1_genomic.raw.pep.faa	GCA_900412535.3_brapa_z1_v2_genomic.raw.pep.faa	GCA_905183035.1_bnapus_darmor_bzh_v10_genomic.raw.pep.faa	GCF_000309985.2_CAAS_Brap_v3.01_genomic.raw.pep.faa	GCF_000695525.1_BOL_genomic.raw.pep.faa	GCF_020379485.1_Da-Ae_genomic.raw.pep.faa	GWHAASO00000000.raw.pep.faa	GWHAAZX00000000.raw.pep.faa	GWHBJSH00000000.raw.pep.faa	GWHBKKZ00000000.raw.pep.faa	GWHBKLA00000000.raw.pep.faa	GWHCAYN00000000.raw.pep.faa	GWHDTWV00000000.raw.pep.faa	GWHDTWX00000000.raw.pep.faa	GWHDTYA00000000.raw.pep.faa	GWHDTYD00000000.raw.pep.faa	GWHDTYE00000000.raw.pep.faa	GWHDTYG00000000.raw.pep.faa	GWHDTYH00000000.raw.pep.faa	GWHDTYJ00000000.raw.pep.faa	GWHDTYK00000000.raw.pep.faa	GWHDTYL00000000.raw.pep.faa	GWHDTYM00000000.raw.pep.faa	GWHDTZU00000000.raw.pep.faa	GWHDTZV00000000.raw.pep.faa	GWHDUBH00000000.raw.pep.faa	GWHDUBI00000000.raw.pep.faa	GWHDUBJ00000000.raw.pep.faa	GWHDUBL00000000.raw.pep.faa	GWHDUBM00000000.raw.pep.faa	GWHDUBP00000000.raw.pep.faa	GWHDUBR00000000.raw.pep.faa	GWHDUBS00000000.raw.pep.faa	GWHDUBT00000000.raw.pep.faa	GWHEQVE00000000.raw.pep.faa	GWHEQVJ00000000.raw.pep.faa	GWHEQVL00000000.raw.pep.faa	GWHEQVM00000000.raw.pep.faa	GWHEQVN00000000.raw.pep.faa	GWHEQVO00000000.raw.pep.faa	GWHERGL00000000.raw.pep.faa	GWHERGM00000000.raw.pep.faa	GWHFIKA00000000.1.raw.pep.faa	GWHFQTP00000000.1.raw.pep.faa	OX_heart.raw.pep.faa
Number of sequences:	70412	67020	59851	61279	61153	63131	62722	43332	97148	43129	124769	103768	102249	52701	108170	60607	56687	120351	59064	45998	97195	53879	59398	86342	53334	52455	52966	51826	52324	52557	53403	51048	50938	52658	50754	51551	52876	53409	52606	52057	52705	53089	54905	52715	51515	50343	52928	53192	51831	52913	52206	52059	49308	49243	84662	95221	68277
Total sequence length:	23628252	21152405	20409724	19094010	19862161	18186390	17260975	16757821	32444950	17615210	40109787	35675730	35966006	17893939	36242910	26672186	23465247	51436379	22680403	18522846	37047281	19546199	20316234	36811269	19035062	19007726	18857366	18565665	18751969	18832894	19008345	18045238	18135746	19173258	18060870	18336909	18949395	18947476	18915463	18662316	18913948	19060766	19375265	18820555	18610201	17836182	18223996	18536020	18272758	18159854	18285232	18062958	19190531	18079093	29781471	34793774	21914446
Average sequence length:	335.5713798784298	315.6133243807819	341.0089054485305	311.5914097814912	324.79454810066557	288.07384644627837	275.1980963617232	386.7308455644789	333.97445135257544	408.43075424888127	321.47237695260844	343.80281011487165	351.74922004127177	339.5369917079372	335.05509845613386	440.08424769416075	413.9440612486108	427.38638648619457	383.99707097385885	402.6880733944954	381.16447348114616	362.77954305016794	342.03565776625476	426.342556345695	356.9029512131098	362.36252025545707	356.027753653287	358.23071431327907	358.381794205336	358.332743497536	355.941520139318	353.4954944366087	356.03569044721036	364.10911922215047	355.8511644402412	355.70423464142306	358.37421514486726	354.76185661592615	359.5685473139946	358.497723649077	358.86439616734657	359.03418787319407	352.8870776796285	357.0246609124538	361.25790546442784	354.2931887253441	344.31673216444983	348.47383065122574	352.54496343886865	343.2021242416797	350.25154196835615	346.9708984037342	389.1971079743652	367.1403651280385	351.769046325388	365.4002163388328	320.9638091890388
Std. dev. sequence length:	282.4206411870298	277.5219420055984	305.6538829127428	279.57294481829445	264.63711330480703	254.5165551437599	245.3971307008402	275.8210118687314	268.8189182443671	334.59902555939584	285.8753355779792	284.14020193368026	286.90863758085067	298.9515261907156	288.65924881548324	308.8047578994683	297.7685065099974	304.6751762974301	276.57310502044504	293.01595078899777	295.6408476603997	290.5403208600809	282.50511150445254	350.5544105034718	283.0204746551949	288.68075180380777	283.4313304758471	284.88946952696193	285.29335439847114	284.101913666903	282.3373634530666	280.41971744410483	283.2593181506093	289.3082209429453	281.2044446017766	280.8503787051455	285.57541023894913	282.9034328197358	285.28175840271405	283.6651745760653	285.5915829301927	288.34502031463575	281.66985681707564	283.2145336077961	286.6875023980191	280.26135141067834	274.92923261918065	275.80154599426737	276.92310971264095	272.6179897137388	277.6474001635628	274.2656941839188	303.8266084477858	287.010953391427	295.1925847336322	325.63124845609184	278.90276376862437
Minimum sequence length:	26	1	1	33	10	49	49	30	49	51	49	49	49	33	33	25	25	25	50	49	100	49	49	40	35	49	34	46	35	49	39	34	49	49	49	49	34	36	49	33	45	49	49	35	49	46	28	24	23	26	24	49	9	16	35	37	27
Maximum sequence length:	5364	5371	5371	5078	5076	4967	4115	5374	4154	5374	9613	5371	5371	5375	5375	5374	5364	5374	5403	5376	5364	5361	5363	5374	5360	5361	5360	5361	5361	5356	5364	5360	5360	5361	5361	5361	5364	5362	5312	5361	5364	5364	5077	5361	5361	5360	5367	5363	5367	5364	5363	5367	5374	5374	5401	5374	5364
Median sequence length:	262.0	240.0	257.0	232.0	261.0	208.0	197.0	334.0	265.0	326.0	241.0	273.0	283.0	262.0	260.0	372.0	346.0	359.0	317.0	335.0	304.0	292.0	271.0	337.0	289.0	292.0	287.0	290.0	289.0	288.0	289.0	285.0	287.0	294.0	290.0	289.0	289.0	285.0	289.0	290.0	290.0	287.0	283.0	288.0	292.0	288.0	283.0	287.0	291.0	282.0	288.0	286.0	318.0	305.0	278.0	286.0	242.0
N25 sequence index:	5809	5225	4553	4704	5204	4861	4728	4215	8277	3598	9671	8704	8702	4127	8639	5881	5381	11483	5576	4331	8559	4610	4945	6804	4643	4536	4591	4491	4529	4565	4652	4450	4428	4559	4450	4524	4576	4630	4589	4550	4573	4563	4715	4587	4489	4406	4644	4715	4611	4657	4611	4616	4295	4369	6934	7426	5414
N25 sequence length:	724	704	777	714	680	651	627	720	692	861	718	725	737	762	742	816	783	804	725	769	758	752	726	964	723	738	725	725	734	729	721	719	727	741	718	717	732	725	735	725	729	741	724	726	731	710	694	693	702	688	702	693	805	746	750	778	709
N50 sequence index:	16183	14843	13090	13282	14380	13823	13605	11451	23051	10153	27679	24317	24188	11679	24286	16228	14892	31847	15456	11961	24226	12945	13901	19793	12992	12720	12822	12610	12665	12743	12978	12405	12341	12766	12409	12612	12809	12906	12728	12696	12793	12728	13263	12782	12535	12322	12804	12963	12717	12854	12725	12693	11942	12061	19697	21979	15279
N50 sequence length:	469	448	483	456	450	408	388	487	455	541	453	472	480	487	477	528	508	518	475	499	483	482	469	555	473	480	474	472	475	476	473	468	472	483	470	470	476	474	481	475	475	480	467	474	478	468	467	472	471	462	471	468	511	488	477	484	458
N75 sequence index:	32003	29802	26468	26625	28120	28364	28274	21865	45430	20255	55963	47894	47503	23181	48204	31436	28962	61895	30181	23304	48233	25554	27482	40436	25533	25019	25203	24798	24932	25083	25513	24430	24286	25166	24309	24745	25187	25404	25041	24936	25196	25155	26189	25169	24662	24158	24907	25180	24718	25088	24767	24655	23494	23463	39310	44330	30523
N75 sequence length:	292	274	295	275	286	235	220	331	285	346	273	298	306	306	296	362	340	351	311	331	306	308	294	356	302	307	302	303	303	303	302	298	302	307	303	301	304	300	304	303	303	303	298	301	305	301	302	303	306	296	303	302	333	318	300	309	276
N95 sequence index:	56438	53003	47301	47952	48347	51241	51168	35589	78994	34663	100153	83532	82332	41115	85173	50773	47407	100758	49767	38274	81939	43722	47755	69513	43470	42736	43097	42252	42601	42822	43500	41613	41432	42915	41302	42039	42992	43459	42845	42474	42959	43164	44745	42947	41983	41007	42652	42928	41865	42804	42136	42057	39866	39906	68373	76933	54916
N95 sequence length:	116	109	117	105	119	100	97	159	120	152	111	120	124	115	116	187	171	179	156	163	146	135	122	157	135	137	133	135	135	135	133	134	134	138	135	135	135	133	135	136	135	134	133	135	137	134	125	130	132	127	130	128	144	135	125	133	108
