	BoleraceaHDEM_annotation.raw.pep.faa	GCF_000695525.1_BOL_genomic.raw.pep.faa	GWHAASO00000000.raw.pep.faa	GWHBKKZ00000000.raw.pep.faa	GWHBKLA00000000.raw.pep.faa	GWHDTWV00000000.raw.pep.faa	GWHDTWX00000000.raw.pep.faa	GWHDTYA00000000.raw.pep.faa	GWHDTYD00000000.raw.pep.faa	GWHDTYG00000000.raw.pep.faa	GWHDTYH00000000.raw.pep.faa	GWHDTYK00000000.raw.pep.faa	GWHDTYL00000000.raw.pep.faa	GWHDTYM00000000.raw.pep.faa	GWHDUBI00000000.raw.pep.faa	GWHDUBJ00000000.raw.pep.faa	GWHDUBL00000000.raw.pep.faa	GWHDUBP00000000.raw.pep.faa	GWHEQVE00000000.raw.pep.faa	GWHEQVJ00000000.raw.pep.faa	GWHEQVL00000000.raw.pep.faa	GWHEQVM00000000.raw.pep.faa	GWHEQVN00000000.raw.pep.faa	GWHEQVO00000000.raw.pep.faa	OX_heart.raw.pep.faa
Number of sequences:	61279	56687	59064	53879	59398	53334	52455	52966	51826	52557	53403	50938	52658	50754	52606	52057	52705	54905	52928	53192	51831	52913	52206	52059	68277
Total sequence length:	19094010	23465247	22680403	19546199	20316234	19035062	19007726	18857366	18565665	18832894	19008345	18135746	19173258	18060870	18915463	18662316	18913948	19375265	18223996	18536020	18272758	18159854	18285232	18062958	21914446
Average sequence length:	311.5914097814912	413.9440612486108	383.99707097385885	362.77954305016794	342.03565776625476	356.9029512131098	362.36252025545707	356.027753653287	358.23071431327907	358.332743497536	355.941520139318	356.03569044721036	364.10911922215047	355.8511644402412	359.5685473139946	358.497723649077	358.86439616734657	352.8870776796285	344.31673216444983	348.47383065122574	352.54496343886865	343.2021242416797	350.25154196835615	346.9708984037342	320.9638091890388
Std. dev. sequence length:	279.57294481829445	297.76850650999734	276.57310502044504	290.5403208600809	282.50511150445254	283.0204746551949	288.68075180380777	283.4313304758471	284.88946952696193	284.101913666903	282.3373634530666	283.2593181506093	289.3082209429453	281.2044446017766	285.28175840271405	283.6651745760653	285.5915829301927	281.66985681707564	274.92923261918065	275.80154599426737	276.92310971264095	272.6179897137388	277.6474001635628	274.2656941839188	278.90276376862437
Minimum sequence length:	33	25	50	49	49	35	49	34	46	49	39	49	49	49	49	33	45	49	28	24	23	26	24	49	27
Maximum sequence length:	5078	5364	5403	5361	5363	5360	5361	5360	5361	5356	5364	5360	5361	5361	5312	5361	5364	5077	5367	5363	5367	5364	5363	5367	5364
Median sequence length:	232.0	346.0	317.0	292.0	271.0	289.0	292.0	287.0	290.0	288.0	289.0	287.0	294.0	290.0	289.0	290.0	290.0	283.0	283.0	287.0	291.0	282.0	288.0	286.0	242.0
N25 sequence index:	4704	5381	5576	4610	4945	4643	4536	4591	4491	4565	4652	4428	4559	4450	4589	4550	4573	4715	4644	4715	4611	4657	4611	4616	5414
N25 sequence length:	714	783	725	752	726	723	738	725	725	729	721	727	741	718	735	725	729	724	694	693	702	688	702	693	709
N50 sequence index:	13282	14892	15456	12945	13901	12992	12720	12822	12610	12743	12978	12341	12766	12409	12728	12696	12793	13263	12804	12963	12717	12854	12725	12693	15279
N50 sequence length:	456	508	475	482	469	473	480	474	472	476	473	472	483	470	481	475	475	467	467	472	471	462	471	468	458
N75 sequence index:	26625	28962	30181	25554	27482	25533	25019	25203	24798	25083	25513	24286	25166	24309	25041	24936	25196	26189	24907	25180	24718	25088	24767	24655	30523
N75 sequence length:	275	340	311	308	294	302	307	302	303	303	302	302	307	303	304	303	303	298	302	303	306	296	303	302	276
N95 sequence index:	47952	47407	49767	43722	47755	43470	42736	43097	42252	42822	43500	41432	42915	41302	42845	42474	42959	44745	42652	42928	41865	42804	42136	42057	54916
N95 sequence length:	105	171	156	135	122	135	137	133	135	135	133	134	138	135	135	136	135	133	125	130	132	127	130	128	108
