	27622715.filtered.pep.faa	Bnigra_NI100.v2.genes.filtered.pep.faa	GCF_000309985.2_CAAS_Brap_v3.01_genomic.filtered.pep.faa	GCF_000695525.1_BOL_genomic.filtered.pep.faa	GWHBKLA00000000.filtered.pep.faa	GWHDTYL00000000.filtered.pep.faa	GWHERGL00000000.filtered.pep.faa	OX_heart.filtered.pep.faa
Number of sequences:	60250	58814	41357	43601	59398	52658	49083	61869
Total sequence length:	18825269	20376005	17343269	17477878	20316234	19173258	19182443	18953660
Average sequence length:	312.45259751037344	346.4482096099568	419.35510312643567	400.8595674411137	342.03565776625476	364.10911922215047	390.8164333883422	306.35148458840456
Std. dev. sequence length:	269.21615665876374	305.55054270516666	292.59608699519526	281.32605706703856	282.50511150445254	289.3082209429453	303.57653195952435	269.31743151045384
Minimum sequence length:	49	49	49	49	49	49	49	49
Maximum sequence length:	5364	5371	5374	5364	5363	5361	5374	5364
Median sequence length:	234.0	262.0	357.0	338.0	271.0	294.0	320.0	224.0
N25 sequence index:	4816	4542	4060	4243	4945	4559	4292	4833
N25 sequence length:	684	778	773	741	726	741	805	681
N50 sequence index:	13583	13056	11142	11660	13901	12766	11934	13669
N50 sequence length:	440	483	508	491	469	483	511	440
N75 sequence index:	27216	26383	21414	22468	27482	25166	23476	27531
N75 sequence length:	264	297	348	330	294	307	333	258
N95 sequence index:	48781	47030	34637	36625	47755	42915	39813	50116
N95 sequence length:	107	119	177	167	122	138	145	103
