	27622715.fna	Bnigra_C2.v1.genome.fna	Bnigra_NI100.v2.genome.fna	BoleraceaHDEM_chromosomes.fna	GCA_000751015.1_AST_PRJEB5043_v1_genomic.fna	GCA_003260655.2_B_cretica_A_v2_genomic.fna	GCA_003260675.2_B_cretica_D_v2_genomic.fna	GCA_003434825.1_Brassica_rapa_FPsc_v1.3_genomic.fna	GCA_016771965.1_ASM1677196v1_genomic.fna	GCA_017639395.1_SCU_BraROA_2.3_genomic.fna	GCA_038677285.1_ASM3867728v1_genomic.fna	GCA_040550855.1_C4012_genomic.fna	GCA_040584065.1_ASM4058406v1_genomic.fna	GCA_900412535.3_brapa_z1_v2_genomic.fna	GCA_905183035.1_bnapus_darmor_bzh_v10_genomic.fna	GCF_000309985.2_CAAS_Brap_v3.01_genomic.fna	GCF_000695525.1_BOL_genomic.fna	GCF_020379485.1_Da-Ae_genomic.fna	GWHAASO00000000.genome.fna	GWHAAZX00000000.genome.fna	GWHBJSH00000000.fna	GWHBKKZ00000000.genome.fna	GWHBKLA00000000.genome.fna	GWHCAYN00000000.genome.fna	GWHDTWV00000000.genome.fna	GWHDTWX00000000.genome.fna	GWHDTYA00000000.genome.fna	GWHDTYD00000000.genome.fna	GWHDTYE00000000.genome.fna	GWHDTYG00000000.genome.fna	GWHDTYH00000000.genome.fna	GWHDTYJ00000000.genome.fna	GWHDTYK00000000.genome.fna	GWHDTYL00000000.genome.fna	GWHDTYM00000000.genome.fna	GWHDTZU00000000.genome.fna	GWHDTZV00000000.genome.fna	GWHDUBH00000000.genome.fna	GWHDUBI00000000.genome.fna	GWHDUBJ00000000.genome.fna	GWHDUBL00000000.genome.fna	GWHDUBM00000000.genome.fna	GWHDUBP00000000.genome.fna	GWHDUBR00000000.genome.fna	GWHDUBS00000000.genome.fna	GWHDUBT00000000.genome.fna	GWHEQVE00000000.genome.fna	GWHEQVJ00000000.genome.fna	GWHEQVL00000000.genome.fna	GWHEQVM00000000.genome.fna	GWHEQVN00000000.genome.fna	GWHEQVO00000000.genome.fna	GWHERGL00000000.genome.fna	GWHERGM00000000.genome.fna	GWHFIKA00000000.1.genome.fna	GWHFQTP00000000.1.genome.fna	OX_heart_genome_wrapped.fna
Number of sequences:	10	963	58	129	20899	2934	2464	5645	1636	295	19	519	268	210	237	1100	32886	3167	649	3211	10	10	191	515	20	23	15	21	15	18	13	166	213	30	138	236	29	11	24	15	24	26	62	13	72	147	10	10	11	10	10	11	12	12	18	1391	569
Total sequence length:	552847295	536619360	506000232	554977060	848200303	332349879	288739113	314865497	1086987601	346506900	1004949250	1073013388	1070359184	443953949	923795763	352983092	488954160	1001886053	561157886	386267327	568515523	534464702	553270725	961721477	578707754	558945262	549019952	565573607	552221523	539874930	562159924	565466213	558040019	572041810	547890678	568263123	570744922	551974015	580974251	576023240	573421876	553363182	584163424	542384396	534419652	557259481	606364932	593560721	634424806	588360242	610908045	619573171	442090047	430528955	981817153	980455280	565471031
Average sequence length:	55284729.5	557237.1339563862	8724141.931034483	4302147.7519379845	40585.68845399301	113275.35071574642	117183.08157467532	55777.76740478299	664417.8490220049	1174599.6610169492	52892065.78947368	2067463.1753371868	3993877.552238806	2114066.4238095237	3897872.417721519	320893.72	14868.15544608648	316351.76918219135	864650.0554699538	120295.02553721581	56851552.3	53446470.2	2896705.3664921466	1867420.3436893204	28935387.7	24301967.913043477	36601330.13333333	26932076.523809522	36814768.2	29993051.666666668	43243071.07692308	3406422.9698795183	2619906.192488263	19068060.333333332	3970222.304347826	2407894.588983051	19680859.379310343	50179455.90909091	24207260.458333332	38401549.333333336	23892578.166666668	21283199.307692308	9421990.709677419	41721876.615384616	7422495.166666667	3790880.8231292516	60636493.2	59356072.1	57674982.36363637	58836024.2	61090804.5	56324833.72727273	36840837.25	35877412.916666664	54545397.38888889	704856.4198418404	993797.9455184534
Std. dev. sequence length:	18530930.917005267	5453160.944181099	21386359.175998777	15073937.761796989	192520.32818239118	2010985.9371117102	1916340.640030776	1226972.4297292586	6120749.687891542	6170757.018752672	15110677.374125866	10953128.624475017	14858350.175600795	8794059.21239133	13053974.482446326	2890243.107767629	830362.5366966918	3538494.1310407207	7076238.338818303	1734318.6040871213	17658173.751603615	16389952.5676607	12946595.392644238	9876865.05108862	31940587.106796462	30517057.216655053	30392579.292503394	30994182.737565953	30622118.18724842	30416112.791649017	29612688.436186288	13504068.206321616	11847533.569136366	29123191.931508083	14504815.632292887	11471668.90343738	29419977.151023053	24885540.310075235	30920022.384467907	31433573.793026358	30572313.55059575	29426138.893225018	22546237.513997354	28649683.719901986	19479825.758852266	14266451.592763225	21284146.397147413	20896916.812368378	25728167.075552303	20979594.90060115	21448191.357597455	27199848.330193143	19819287.922924545	19490911.431367148	14741507.093923694	6055556.580444059	7548352.607904344
Minimum sequence length:	5291835	547	12560	2080	138	2000	2001	1000	4988	1604	26714908	319	6884	30348	60731	2324	200	1008	1730	924	11402142	10276068	11398	18248	63020	78690	18914	124329	13465	50469	40000	15341	12361	55456	10887	3675	53867	108313	24882	90647	105594	27501	15087	54855	17951	14123	978592	200667	519546	72864	97716	22959	153483	153483	32503768	9316	1054
Maximum sequence length:	78655145	71072303	70847972	73711317	5197798	46022850	44274581	44888295	72379882	60281870	79204285	75391900	74943771	68194707	73669886	45156810	64984695	74222928	74510869	45122937	79842669	75319530	80127416	73231756	78384346	77635746	77492250	76500131	77035298	76029668	76376741	73659243	74029832	76876776	73465279	73980201	80411662	79110931	81748926	78617262	77479428	78331576	78219189	78011895	74621860	72895319	79032171	78880522	86880579	80057606	81976334	80790341	69317251	67734757	78361214	73462801	76131090
Median sequence length:	58359348.5	39438.0	92177.5	81383.0	3272.0	2677.0	2584.0	1876.0	17007.5	22844.0	56258522.0	49291.0	107764.5	111065.5	121592.0	40235.5	393.0	37849.0	19895.0	16175.0	57842930.0	55586755.5	46247.0	42308.0	1176034.5	273817.0	51759660.0	1082794.0	52459267.0	23727535.5	57683825.0	63395.0	55831.0	192672.5	66776.5	58023.5	279598.0	57628984.0	783344.5	56592305.0	803149.5	222352.5	114513.5	53333409.0	114545.0	65658.0	65207764.0	65046222.0	60944144.0	62815079.0	66806586.5	66554978.0	38032731.0	37608502.5	58174937.5	34176.0	16183.0
N25 sequence index:	2	2	2	2	104	2	2	3	4	2	4	4	4	2	4	3	3	4	2	3	2	2	2	4	2	2	2	2	2	2	2	3	3	2	2	3	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	4	4	2
N25 sequence length:	68427143	68759150	68374191	65381821	1352401	40484784	36377748	30984273	66418575	36095996	68434550	67698418	68377818	58997078	62297340	31442979	53719093	58167434	67469775	32262842	71907788	64790961	66754017	69030762	70724876	69347528	66732291	69435312	68672685	67028632	74691633	65158812	63952917	70154266	64749907	64635345	70440776	69093832	71016798	70501107	70270774	66912028	71337645	65715362	63401356	65431972	78303667	71298448	79408680	72452568	72945868	77556856	59205763	56110742	69836826	67607053	67801736
N50 sequence index:	5	5	4	5	324	5	4	5	9	5	8	8	8	5	8	6	5	9	5	6	4	5	4	8	5	5	5	5	4	4	5	5	5	5	5	5	4	4	4	5	5	4	5	4	5	5	5	5	5	5	5	5	4	4	8	8	5
N50 sequence length:	59208503	57774146	60819636	58257932	680862	36085697	31308560	28488603	58891064	32457817	59365250	64149603	62375533	39217719	50218839	28928902	48366697	48209797	57884551	28953783	65683070	56094947	64638171	58490459	62195753	62057483	60302895	61947873	65135299	63746061	62787088	56636074	55506693	61412808	57349439	56691393	66866305	62825707	68709032	60668869	59500280	65433663	60472951	64059823	56484001	57000890	65326007	65839909	72197880	64701984	69094299	69078074	46671336	47034915	60255896	59279667	59441974
N75 sequence index:	7	7	6	7	852	7	7	8	13	8	13	13	13	8	13	9	8	17	7	10	7	7	7	12	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	12	13	7
N75 sequence length:	53272422	52350706	57436026	52030199	205883	33306421	27253384	23189089	55501767	25318967	47115297	56508100	56217565	28616645	39685748	21928416	41758685	23154485	52469534	20480900	54220099	51326431	53402115	43155620	55335426	54689441	54756945	56125221	53713606	53856900	57683825	52094905	51820058	55754937	50844399	53724932	54212351	55980782	56303276	57318465	57524651	54437878	55255817	53333409	54611518	51737725	64839915	62079453	59377382	58658402	62408074	62784451	37059914	36640637	46167100	38581962	51828545
N95 sequence index:	9	209	8	9	6337	9	9	117	38	17	18	17	17	26	22	496	264	1284	9	1292	9	9	9	18	9	9	9	9	9	9	9	11	11	9	9	11	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	10	10	17	73	9
N95 sequence length:	49705675	79810	55075547	46538988	4918	27103516	24239938	31341	387596	428195	29331849	48668886	47263926	488020	3218146	43136	28443	44460	47844321	20348	48937047	47282770	48243757	28299038	53276452	49710501	48506227	51273101	50652487	47033360	47723292	2592786	2545445	51933395	46904723	2992838	51634866	47285378	50417254	51503661	52469740	49338164	53189597	48889433	49547750	48237103	52528554	53426602	53632606	53560184	58360037	53466802	28346059	26834951	33838550	98957	47389284
