	GCF_000309985.2_CAAS_Brap_v3.01_genomic.filtered.gff	GCF_000695525.1_BOL_genomic.filtered.gff	GCF_020379485.1_Da-Ae_genomic.filtered.gff
region	547.0	968.0	1917.0
gene	49807.0	49133.0	113911.0
mRNA	41402.0	44159.0	90895.0
exon	254030.0	269545.0	561202.0
CDS	208307.0	216568.0	440029.0
five_prime_UTR	46005.0	42114.0	92656.0
three_prime_UTR	41740.0	36629.0	83235.0
pseudogene	1869.0	4483.0	9304.0
RNA	1844.0	4458.0	9189.0
transcript	1474.0	931.0	2356.0
lnc_RNA	4367.0	3984.0	9074.0
tRNA	1100.0	987.0	2600.0
snoRNA	1156.0	0.0	3581.0
snRNA	149.0	0.0	344.0
rRNA	1382.0	3.0	7275.0
primary_transcript	88.0	0.0	0.0
miRNA	88.0	0.0	0.0
inverted_repeat	0.0	2.0	2.0
sequence_feature	0.0	76.0	426.0
repeat_region	0.0	0.0	2.0
