# BUSCO version is: 5.8.3 
# The lineage dataset is: brassicales_odb10 (Creation date: 2024-01-08, number of genomes: 10, number of BUSCOs: 4596)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
1at3699	Complete	gene-DARMORV10_C09P75640.1	9021.2	4307	https://v10-1.orthodb.org/?query=1at3699	Zinc finger, ZZ-type
2at3699	Complete	gene-DARMORV10_A03P46400.1	8834.4	4198	https://v10-1.orthodb.org/?query=2at3699	Zinc finger, RING/FYVE/PHD-type
14at3699	Duplicated	gene-DARMORV10_A06P35550.1	5276.2	2870	https://v10-1.orthodb.org/?query=14at3699	Vacuolar protein sorting-associated protein 13, N-terminal domain
14at3699	Duplicated	gene-DARMORV10_C07P42990.1	5262.1	2870	https://v10-1.orthodb.org/?query=14at3699	Vacuolar protein sorting-associated protein 13, N-terminal domain
15at3699	Duplicated	gene-DARMORV10_A06P27460.1	4624.0	2391	https://v10-1.orthodb.org/?query=15at3699	Phosphatidylinositol 3-/4-kinase, catalytic domain
15at3699	Duplicated	gene-DARMORV10_C03P66700.1	4311.2	2267	https://v10-1.orthodb.org/?query=15at3699	Phosphatidylinositol 3-/4-kinase, catalytic domain
18at3699	Duplicated	gene-DARMORV10_C01P00530.1	4990.3	2557	https://v10-1.orthodb.org/?query=18at3699	Spatacsin, C-terminal domain
18at3699	Duplicated	gene-DARMORV10_A01P00380.1	5012.5	2556	https://v10-1.orthodb.org/?query=18at3699	Spatacsin, C-terminal domain
19at3699	Duplicated	gene-DARMORV10_A01P24160.1	5096.3	2657	https://v10-1.orthodb.org/?query=19at3699	Vacuolar protein sorting-associated protein 13, C-terminal
19at3699	Duplicated	gene-DARMORV10_C01P29870.1	4583.1	2384	https://v10-1.orthodb.org/?query=19at3699	Vacuolar protein sorting-associated protein 13, C-terminal
20at3699	Duplicated	gene-DARMORV10_A01P28340.1	4762.9	2269	https://v10-1.orthodb.org/?query=20at3699	BEACH domain
20at3699	Duplicated	gene-DARMORV10_C01P35890.1	4751.6	2269	https://v10-1.orthodb.org/?query=20at3699	BEACH domain
30at3699	Duplicated	gene-DARMORV10_A07P17900.1	4771.9	2228	https://v10-1.orthodb.org/?query=30at3699	DnaJ domain
30at3699	Duplicated	gene-DARMORV10_C04P24570.1	4756.9	2227	https://v10-1.orthodb.org/?query=30at3699	DnaJ domain
31at3699	Duplicated	gene-DARMORV10_A03P27040.1	4429.7	2165	https://v10-1.orthodb.org/?query=31at3699	Zinc finger FYVE domain protein
31at3699	Duplicated	gene-DARMORV10_C03P32450.1	4412.1	2165	https://v10-1.orthodb.org/?query=31at3699	Zinc finger FYVE domain protein
33at3699	Duplicated	gene-DARMORV10_A02P23930.1	4654.9	2305	https://v10-1.orthodb.org/?query=33at3699	Protein ILITYHIA
33at3699	Duplicated	gene-DARMORV10_C02P37720.1	4614.9	2305	https://v10-1.orthodb.org/?query=33at3699	Protein ILITYHIA
34at3699	Duplicated	gene-DARMORV10_A05P30550.1	3890.9	2314	https://v10-1.orthodb.org/?query=34at3699	Kinesin motor domain
34at3699	Duplicated	gene-DARMORV10_C05P46290.1	3848.6	2300	https://v10-1.orthodb.org/?query=34at3699	Kinesin motor domain
37at3699	Duplicated	gene-DARMORV10_A04P17040.1	4473.0	2264	https://v10-1.orthodb.org/?query=37at3699	FMP27,  C-terminal
