	BoleraceaHDEM_chromosomes.filtered.fna	GCF_000695525.1_BOL_genomic.filtered.fna	GWHAASO00000000.genome.filtered.fna	GWHBKKZ00000000.genome.filtered.fna	GWHBKLA00000000.genome.filtered.fna	GWHDTWV00000000.genome.filtered.fna	GWHDTWX00000000.genome.filtered.fna	GWHDTYA00000000.genome.filtered.fna	GWHDTYD00000000.genome.filtered.fna	GWHDTYG00000000.genome.filtered.fna	GWHDTYH00000000.genome.filtered.fna	GWHDTYK00000000.genome.filtered.fna	GWHDTYL00000000.genome.filtered.fna	GWHDTYM00000000.genome.filtered.fna	GWHDUBI00000000.genome.filtered.fna	GWHDUBJ00000000.genome.filtered.fna	GWHDUBL00000000.genome.filtered.fna	GWHDUBP00000000.genome.filtered.fna	GWHEQVE00000000.genome.filtered.fna	GWHEQVJ00000000.genome.filtered.fna	GWHEQVL00000000.genome.filtered.fna	GWHEQVM00000000.genome.filtered.fna	GWHEQVN00000000.genome.filtered.fna	GWHEQVO00000000.genome.filtered.fna	OX_heart_genome_wrapped.filtered.fna
Number of sequences:	115	602	504	10	191	20	23	15	21	18	13	213	30	138	24	15	24	62	10	10	11	10	10	11	401
Total sequence length:	554895121	470365011	560411453	534464702	553270725	578707754	558945262	549019952	565573607	539874930	562159924	558040019	572041810	547890678	580974251	576023240	573421876	584163424	606364932	593560721	634424806	588360242	610908045	619573171	564455087
Average sequence length:	4825174.965217391	781337.2275747508	1111927.486111111	53446470.2	2896705.3664921466	28935387.7	24301967.913043477	36601330.13333333	26932076.523809522	29993051.666666668	43243071.07692308	2619906.192488263	19068060.333333332	3970222.304347826	24207260.458333332	38401549.333333336	23892578.166666668	9421990.709677419	60636493.2	59356072.1	57674982.36363637	58836024.2	61090804.5	56324833.72727273	1407618.6708229426
Std. dev. sequence length:	15885999.044083225	6088315.378898983	8012829.169083255	16389952.5676607	12946595.392644238	31940587.106796462	30517057.216655053	30392579.292503394	30994182.737565953	30416112.791649017	29612688.436186288	11847533.569136366	29123191.931508083	14504815.632292887	30920022.384467907	31433573.793026358	30572313.55059575	22546237.513997354	21284146.397147413	20896916.812368378	25728167.075552303	20979594.90060115	21448191.357597455	27199848.330193143	8959271.80121419
Minimum sequence length:	11322	10018	10018	10276068	11398	63020	78690	18914	124329	50469	40000	12361	55456	10887	24882	90647	105594	15087	978592	200667	519546	72864	97716	22959	10118
Maximum sequence length:	73711317	64984695	74510869	75319530	80127416	78384346	77635746	77492250	76500131	76029668	76376741	74029832	76876776	73465279	81748926	78617262	77479428	78219189	79032171	78880522	86880579	80057606	81976334	80790341	76131090
Median sequence length:	91072.0	25140.0	26576.0	55586755.5	46247.0	1176034.5	273817.0	51759660.0	1082794.0	23727535.5	57683825.0	55831.0	192672.5	66776.5	783344.5	56592305.0	803149.5	114513.5	65207764.0	65046222.0	60944144.0	62815079.0	66806586.5	66554978.0	21522.0
N25 sequence index:	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
N25 sequence length:	65381821	54679868	67469775	64790961	66754017	70724876	69347528	66732291	69435312	67028632	74691633	63952917	70154266	64749907	71016798	70501107	70270774	71337645	78303667	71298448	79408680	72452568	72945868	77556856	67801736
N50 sequence index:	5	5	5	5	4	5	5	5	5	4	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5
N50 sequence length:	58257932	48366697	57884551	56094947	64638171	62195753	62057483	60302895	61947873	63746061	62787088	55506693	61412808	57349439	68709032	60668869	59500280	60472951	65326007	65839909	72197880	64701984	69094299	69078074	59441974
N75 sequence index:	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
N75 sequence length:	52030199	43764888	52469534	51326431	53402115	55335426	54689441	54756945	56125221	53856900	57683825	51820058	55754937	50844399	56303276	57318465	57524651	55255817	64839915	62079453	59377382	58658402	62408074	62784451	51828545
N95 sequence index:	9	9	9	9	9	9	9	9	9	9	9	11	9	9	9	9	9	9	9	9	9	9	9	9	9
N95 sequence length:	46538988	39822476	47844321	47282770	48243757	53276452	49710501	48506227	51273101	47033360	47723292	2545445	51933395	46904723	50417254	51503661	52469740	53189597	52528554	53426602	53632606	53560184	58360037	53466802	47389284
