	27622715.filtered.fna	Bnigra_NI100.v2.genome.filtered.fna	GCF_000309985.2_CAAS_Brap_v3.01_genomic.filtered.fna	GCF_000695525.1_BOL_genomic.filtered.fna	GWHBKLA00000000.genome.filtered.fna	GWHDTYL00000000.genome.filtered.fna	GWHERGL00000000.genome.filtered.fna	OX_heart_genome_wrapped.filtered.fna
Number of sequences:	10	58	1085	601	191	30	12	401
Total sequence length:	552847295	506000232	352736891	470004740	553270725	572041810	442090047	564455087
Average sequence length:	55284729.5	8724141.931034483	325103.12534562213	782037.8369384359	2896705.3664921466	19068060.333333332	36840837.25	1407618.6708229426
Std. dev. sequence length:	18530930.917005267	21386359.175998777	2909926.706203349	6093354.180734638	12946595.392644238	29123191.931508083	19819287.922924545	8959271.80121419
Minimum sequence length:	5291835	12560	10311	10018	11398	55456	153483	10118
Maximum sequence length:	78655145	70847972	45156810	64984695	80127416	76876776	69317251	76131090
Median sequence length:	58359348.5	92177.5	40496.0	25049.0	46247.0	192672.5	38032731.0	21522.0
N25 sequence index:	2	2	3	2	2	2	2	2
N25 sequence length:	68427143	68374191	31442979	54679868	66754017	70154266	59205763	67801736
N50 sequence index:	5	4	6	5	4	5	4	5
N50 sequence length:	59208503	60819636	28928902	48366697	64638171	61412808	46671336	59441974
N75 sequence index:	7	6	9	7	7	7	7	7
N75 sequence length:	53272422	57436026	21928416	43764888	53402115	55754937	37059914	51828545
N95 sequence index:	9	8	493	9	9	9	10	9
N95 sequence length:	49705675	55075547	43302	39822476	48243757	51933395	28346059	47389284
