# BUSCO version is: 5.8.3 
# The lineage dataset is: brassicales_odb10 (Creation date: 2024-01-08, number of genomes: 10, number of BUSCOs: 4596)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
1at3699	Missing
2at3699	Missing
14at3699	Complete	rna-gnl_WGS_QGKX_F2Q69_00056369-RA_mrna	5147.7	2822	https://v10-1.orthodb.org/?query=14at3699	Vacuolar protein sorting-associated protein 13, N-terminal domain
15at3699	Fragmented	rna-gnl_WGS_QGKX_F2Q69_00005633-RA_mrna	1656.3	945	https://v10-1.orthodb.org/?query=15at3699	Phosphatidylinositol 3-/4-kinase, catalytic domain
18at3699	Missing
19at3699	Complete	rna-gnl_WGS_QGKX_F2Q69_00036122-RA_mrna	5103.6	2657	https://v10-1.orthodb.org/?query=19at3699	Vacuolar protein sorting-associated protein 13, C-terminal
20at3699	Complete	rna-gnl_WGS_QGKX_F2Q69_00036515-RA_mrna	4674.0	2269	https://v10-1.orthodb.org/?query=20at3699	BEACH domain
30at3699	Complete	rna-gnl_WGS_QGKX_F2Q69_00012460-RA_mrna	4686.8	2227	https://v10-1.orthodb.org/?query=30at3699	DnaJ domain
31at3699	Complete	rna-gnl_WGS_QGKX_F2Q69_00002480-RA_mrna	4255.6	2133	https://v10-1.orthodb.org/?query=31at3699	Zinc finger FYVE domain protein
33at3699	Complete	rna-gnl_WGS_QGKX_F2Q69_00021241-RA_mrna	4524.5	2266	https://v10-1.orthodb.org/?query=33at3699	Protein ILITYHIA
34at3699	Missing
37at3699	Missing
38at3699	Complete	rna-gnl_WGS_QGKX_F2Q69_00010326-RA_mrna	3773.1	2000	https://v10-1.orthodb.org/?query=38at3699	WD40 repeat
42at3699	Fragmented	rna-gnl_WGS_QGKX_F2Q69_00001274-RA_mrna	3277.2	1514	https://v10-1.orthodb.org/?query=42at3699	Glutamate synthase, alpha subunit, C-terminal
43at3699	Fragmented	rna-gnl_WGS_QGKX_F2Q69_00056414-RA_mrna	3484.8	1365	https://v10-1.orthodb.org/?query=43at3699	Sec39 domain
45at3699	Missing
49at3699	Complete	rna-gnl_WGS_QGKX_F2Q69_00016708-RA_mrna	3576.2	1758	https://v10-1.orthodb.org/?query=49at3699	Embryo defective 2410
50at3699	Missing
51at3699	Complete	rna-gnl_WGS_QGKX_F2Q69_00063242-RA_mrna	3554.9	1861	https://v10-1.orthodb.org/?query=51at3699	DNA2/NAM7 helicase, AAA domain
53at3699	Fragmented	rna-gnl_WGS_QGKX_F2Q69_00050922-RA_mrna	1769.1	837	https://v10-1.orthodb.org/?query=53at3699	Protein SWEETIE
58at3699	Complete	rna-gnl_WGS_QGKX_F2Q69_00031636-RA_mrna	3758.3	1762	https://v10-1.orthodb.org/?query=58at3699	1,3-beta-glucan synthase subunit FKS1-like, domain-1
