# BUSCO version is: 5.8.3 
# The lineage dataset is: brassicales_odb10 (Creation date: 2024-01-08, number of genomes: 10, number of BUSCOs: 4596)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
1at3699	Fragmented	rna-gnl_WGS_JAAMPC_BcaC05g30341	4111.6	2181	https://v10-1.orthodb.org/?query=1at3699	Zinc finger, ZZ-type
2at3699	Missing
14at3699	Complete	rna-gnl_WGS_JAAMPC_BcaNung01253	5249.2	2867	https://v10-1.orthodb.org/?query=14at3699	Vacuolar protein sorting-associated protein 13, N-terminal domain
15at3699	Missing
18at3699	Missing
19at3699	Duplicated	rna-gnl_WGS_JAAMPC_BcaB05g23215	5064.8	2651	https://v10-1.orthodb.org/?query=19at3699	Vacuolar protein sorting-associated protein 13, C-terminal
19at3699	Duplicated	rna-gnl_WGS_JAAMPC_BcaC09g50025	4997.6	2630	https://v10-1.orthodb.org/?query=19at3699	Vacuolar protein sorting-associated protein 13, C-terminal
20at3699	Missing
30at3699	Complete	rna-gnl_WGS_JAAMPC_BcaC02g10846	4533.9	2217	https://v10-1.orthodb.org/?query=30at3699	DnaJ domain
31at3699	Missing
33at3699	Duplicated	rna-gnl_WGS_JAAMPC_BcaB05g23590	4652.8	2306	https://v10-1.orthodb.org/?query=33at3699	Protein ILITYHIA
33at3699	Duplicated	rna-gnl_WGS_JAAMPC_BcaC03g16020	4635.4	2306	https://v10-1.orthodb.org/?query=33at3699	Protein ILITYHIA
34at3699	Complete	rna-gnl_WGS_JAAMPC_BcaB06g25958	3641.8	2310	https://v10-1.orthodb.org/?query=34at3699	Kinesin motor domain
37at3699	Duplicated	rna-gnl_WGS_JAAMPC_BcaB04g20194	3042.9	2256	https://v10-1.orthodb.org/?query=37at3699	FMP27,  C-terminal
37at3699	Duplicated	rna-gnl_WGS_JAAMPC_BcaC09g49498	3017.5	2252	https://v10-1.orthodb.org/?query=37at3699	FMP27,  C-terminal
38at3699	Complete	rna-gnl_WGS_JAAMPC_BcaC02g12673	4113.4	2186	https://v10-1.orthodb.org/?query=38at3699	WD40 repeat
42at3699	Complete	rna-gnl_WGS_JAAMPC_BcaC01g06255	4252.2	1959	https://v10-1.orthodb.org/?query=42at3699	Glutamate synthase, alpha subunit, C-terminal
43at3699	Complete	rna-gnl_WGS_JAAMPC_BcaNung01227	3920.0	2043	https://v10-1.orthodb.org/?query=43at3699	Sec39 domain
45at3699	Missing
49at3699	Duplicated	rna-gnl_WGS_JAAMPC_BcaB06g28084	3599.8	1742	https://v10-1.orthodb.org/?query=49at3699	Embryo defective 2410
49at3699	Duplicated	rna-gnl_WGS_JAAMPC_BcaC02g08333	3597.4	1742	https://v10-1.orthodb.org/?query=49at3699	Embryo defective 2410
50at3699	Complete	rna-gnl_WGS_JAAMPC_BcaC06g33649	3311.0	1793	https://v10-1.orthodb.org/?query=50at3699	Thyroid adenoma-associated-like protein
51at3699	Missing
53at3699	Missing
58at3699	Duplicated	rna-gnl_WGS_JAAMPC_BcaC05g29060	3932.9	1788	https://v10-1.orthodb.org/?query=58at3699	1,3-beta-glucan synthase subunit FKS1-like, domain-1
58at3699	Duplicated	rna-gnl_WGS_JAAMPC_BcaB06g25374	3849.7	1788	https://v10-1.orthodb.org/?query=58at3699	1,3-beta-glucan synthase subunit FKS1-like, domain-1
60at3699	Duplicated	rna-gnl_WGS_JAAMPC_BcaC04g23077	3803.2	1747	https://v10-1.orthodb.org/?query=60at3699	Callose synthase 5
60at3699	Duplicated	rna-gnl_WGS_JAAMPC_BcaB02g11528	3779.9	1747	https://v10-1.orthodb.org/?query=60at3699	Callose synthase 5
62at3699	Duplicated	rna-gnl_WGS_JAAMPC_BcaNung01007	3160.0	1823	https://v10-1.orthodb.org/?query=62at3699	Separase
