	27622715.fna	GWHBJSH00000000.fna	GWHBKKZ00000000.fna	GWHDTYM00000000.fna	from file:
Number of sequences:	10	10	10	138
Total sequence length:	552847295	568515523	534464702	547890678
Average sequence length:	55284729.5	56851552.3	53446470.2	3970222.304347826
Std. dev. sequence length:	18530930.917005267	17658173.751603615	16389952.5676607	14504815.632292887
Minimum sequence length:	5291835	11402142	10276068	10887
Maximum sequence length:	78655145	79842669	75319530	73465279
Median sequence length:	58359348.5	57842930.0	55586755.5	66776.5
N50 sequence index:	5	4	5	5
N50 sequence length:	59208503	65683070	56094947	57349439
N95 sequence index:	9	9	9	9
N95 sequence length:	49705675	48937047	47282770	46904723
Number of sequences:	10	10	10	138
Total sequence length:	552847295	568515523	534464702	547890678
Average sequence length:	55284729.5	56851552.3	53446470.2	3970222.304347826
Std. dev. sequence length:	18530930.917005267	17658173.751603615	16389952.5676607	14504815.632292887
Minimum sequence length:	5291835	11402142	10276068	10887
Maximum sequence length:	78655145	79842669	75319530	73465279
Median sequence length:	58359348.5	57842930.0	55586755.5	66776.5
N50 sequence index:	5	4	5	5
N50 sequence length:	59208503	65683070	56094947	57349439
N95 sequence index:	9	9	9	9
N95 sequence length:	49705675	48937047	47282770	46904723
gene	60250.0	57983.0	53879.0	50754.0
mRNA	60250.0	57983.0	53879.0	50754.0
exon	271677.0	295849.0	251089.0	242478.0
CDS	264028.0	270667.0	251089.0	242478.0
five_prime_UTR	31968.0	44596.0	0.0	0.0
three_prime_UTR	29559.0	43775.0	0.0	0.0
gene	60640.0	57983.0	53879.0	50754.0
mRNA	70412.0	97195.0	53879.0	50754.0
exon	348083.0	624778.0	251089.0	242478.0
CDS	333333.0	547552.0	251089.0	242478.0
five_prime_UTR	47018.0	108127.0	0.0	0.0
three_prime_UTR	41655.0	97427.0	0.0	0.0
Number of sequences:	70412	97195	53879	50754
Total sequence length:	23628252	37047281	19546199	18060870
Average sequence length:	335.5713798784298	381.16447348114616	362.77954305016794	355.8511644402412
Std. dev. sequence length:	282.4206411870298	295.6408476603997	290.5403208600809	281.2044446017766
Minimum sequence length:	26	100	49	49
Maximum sequence length:	5364	5364	5361	5361
Median sequence length:	262.0	304.0	292.0	290.0
N50 sequence index:	16183	24226	12945	12409
N50 sequence length:	469	483	482	470
N95 sequence index:	56438	81939	43722	41302
N95 sequence length:	116	146	135	135
Number of sequences:	60250	57983	53879	50754
Total sequence length:	18825269	20109726	19546199	18060870
Average sequence length:	312.45259751037344	346.8210682441405	362.77954305016794	355.8511644402412
Std. dev. sequence length:	269.21615665876374	277.65923749575103	290.5403208600809	281.2044446017766
Minimum sequence length:	49	100	49	49
Maximum sequence length:	5364	5364	5361	5361
Median sequence length:	234.0	267.0	292.0	290.0
N50 sequence index:	13583	14022	12945	12409
N50 sequence length:	440	451	482	470
N95 sequence index:	48781	49187	43722	41302
N95 sequence length:	107	131	135	135
Complete and single-copy BUSCOs (S)
Complete and duplicated BUSCOs (D)
Fragmented BUSCOs (F)
Missing BUSCOs (M)
