GWHERGM00000000.filtered.pep.faa
	4125	Complete and single-copy BUSCOs (S)	   
	386	Complete and duplicated BUSCOs (D)	   
	23	Fragmented BUSCOs (F)			   
	62	Missing BUSCOs (M)			   
	C:98.2%[S:89.8%,D:8.4%],F:0.5%,M:1.3%,n:4596	   
GWHEQVM00000000.filtered.pep.faa
	4061	Complete and single-copy BUSCOs (S)	   
	408	Complete and duplicated BUSCOs (D)	   
	32	Fragmented BUSCOs (F)			   
	95	Missing BUSCOs (M)			   
	C:97.2%[S:88.4%,D:8.9%],F:0.7%,M:2.1%,n:4596	   
GWHDUBI00000000.filtered.pep.faa
	4055	Complete and single-copy BUSCOs (S)	   
	445	Complete and duplicated BUSCOs (D)	   
	11	Fragmented BUSCOs (F)			   
	85	Missing BUSCOs (M)			   
	C:97.9%[S:88.2%,D:9.7%],F:0.2%,M:1.8%,n:4596	   
GWHAASO00000000.filtered.pep.faa
	3984	Complete and single-copy BUSCOs (S)	   
	492	Complete and duplicated BUSCOs (D)	   
	18	Fragmented BUSCOs (F)			   
	102	Missing BUSCOs (M)			   
	C:97.4%[S:86.7%,D:10.7%],F:0.4%,M:2.2%,n:4596	   
GWHEQVN00000000.filtered.pep.faa
	4067	Complete and single-copy BUSCOs (S)	   
	452	Complete and duplicated BUSCOs (D)	   
	27	Fragmented BUSCOs (F)			   
	50	Missing BUSCOs (M)			   
	C:98.3%[S:88.5%,D:9.8%],F:0.6%,M:1.1%,n:4596	   
GWHDUBR00000000.filtered.pep.faa
	4004	Complete and single-copy BUSCOs (S)	   
	438	Complete and duplicated BUSCOs (D)	   
	32	Fragmented BUSCOs (F)			   
	122	Missing BUSCOs (M)			   
	C:96.6%[S:87.1%,D:9.5%],F:0.7%,M:2.7%,n:4596	   
GCF_000695525.1_BOL_genomic.filtered.pep.faa
	4134	Complete and single-copy BUSCOs (S)	   
	433	Complete and duplicated BUSCOs (D)	   
	9	Fragmented BUSCOs (F)			   
	20	Missing BUSCOs (M)			   
	C:99.4%[S:89.9%,D:9.4%],F:0.2%,M:0.4%,n:4596	   
GWHBJSH00000000.filtered.pep.faa
	3738	Complete and single-copy BUSCOs (S)	   
	392	Complete and duplicated BUSCOs (D)	   
	59	Fragmented BUSCOs (F)			   
	407	Missing BUSCOs (M)			   
