	27622715.fna	Bnigra_NI100.v2.genome.fna	GCF_000309985.2_CAAS_Brap_v3.01_genomic.fna	GCF_000695525.1_BOL_genomic.fna	GWHBKLA00000000.genome.fna	GWHDTYL00000000.genome.fna	GWHERGL00000000.genome.fna	OX_heart_genome_wrapped.fna
Number of sequences:	10	58	1099	32885	191	30	12	569
Total sequence length:	552847295	506000232	352829610	488593889	553270725	572041810	442090047	565471031
Average sequence length:	55284729.5	8724141.931034483	321046.050955414	14857.652090618823	2896705.3664921466	19068060.333333332	36840837.25	993797.9455184534
Std. dev. sequence length:	18530930.917005267	21386359.175998777	2891553.337302948	830372.9772912214	12946595.392644238	29123191.931508083	19819287.922924545	7548352.607904344
Minimum sequence length:	5291835	12560	2324	200	11398	55456	153483	1054
Maximum sequence length:	78655145	70847972	45156810	64984695	80127416	76876776	69317251	76131090
Median sequence length:	58359348.5	92177.5	40202.0	393.0	46247.0	192672.5	38032731.0	16183.0
N25 sequence index:	2	2	3	3	2	2	2	2
N25 sequence length:	68427143	68374191	31442979	53719093	66754017	70154266	59205763	67801736
N50 sequence index:	5	4	6	5	4	5	4	5
N50 sequence length:	59208503	60819636	28928902	48366697	64638171	61412808	46671336	59441974
N75 sequence index:	7	6	9	8	7	7	7	7
N75 sequence length:	53272422	57436026	21928416	41758685	53402115	55754937	37059914	51828545
N95 sequence index:	9	8	495	264	9	9	10	9
N95 sequence length:	49705675	55075547	43136	28109	48243757	51933395	28346059	47389284
