# BUSCO version is: 5.8.3 
# The lineage dataset is: brassicales_odb10 (Creation date: 2024-01-08, number of genomes: 10, number of BUSCOs: 4596)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
1at3699	Missing
2at3699	Complete	BniB02g082980.1C2.1	8809.3	4198	https://v10-1.orthodb.org/?query=2at3699	Zinc finger, RING/FYVE/PHD-type
14at3699	Complete	BniB02g084150.1C2.1	5340.0	2868	https://v10-1.orthodb.org/?query=14at3699	Vacuolar protein sorting-associated protein 13, N-terminal domain
15at3699	Complete	BniB06g028820.1C2.1	4793.0	2544	https://v10-1.orthodb.org/?query=15at3699	Phosphatidylinositol 3-/4-kinase, catalytic domain
18at3699	Complete	BniB05g001150.1C2.1	4896.2	2527	https://v10-1.orthodb.org/?query=18at3699	Spatacsin, C-terminal domain
19at3699	Complete	BniB05g047640.1C2.1	5063.8	2651	https://v10-1.orthodb.org/?query=19at3699	Vacuolar protein sorting-associated protein 13, C-terminal
20at3699	Complete	BniB07g044540.1C2.1	4751.5	2269	https://v10-1.orthodb.org/?query=20at3699	BEACH domain
30at3699	Complete	BniB06g020420.1C2.1	4546.4	2162	https://v10-1.orthodb.org/?query=30at3699	DnaJ domain
31at3699	Complete	BniB08g035640.1C2.1	4414.3	2165	https://v10-1.orthodb.org/?query=31at3699	Zinc finger FYVE domain protein
33at3699	Complete	BniB05g053130.1C2.1	4655.1	2306	https://v10-1.orthodb.org/?query=33at3699	Protein ILITYHIA
34at3699	Fragmented	BniB01g048130.1C2.1	2746.6	1605	https://v10-1.orthodb.org/?query=34at3699	Kinesin motor domain
37at3699	Missing
38at3699	Complete	BniB06g002930.1C2.1	4205.2	2186	https://v10-1.orthodb.org/?query=38at3699	WD40 repeat
42at3699	Complete	BniB08g017410.1C2.1	4400.8	1959	https://v10-1.orthodb.org/?query=42at3699	Glutamate synthase, alpha subunit, C-terminal
43at3699	Complete	BniB02g083830.1C2.1	3879.1	2061	https://v10-1.orthodb.org/?query=43at3699	Sec39 domain
45at3699	Complete	BniB04g003090.1C2.1	3880.2	1817	https://v10-1.orthodb.org/?query=45at3699	DExH-box ATP-dependent RNA helicase DExH14
49at3699	Complete	BniB01g019930.1C2.1	3551.7	1742	https://v10-1.orthodb.org/?query=49at3699	Embryo defective 2410
50at3699	Missing
51at3699	Complete	BniB03g028670.1C2.1	3711.6	1901	https://v10-1.orthodb.org/?query=51at3699	DNA2/NAM7 helicase, AAA domain
53at3699	Complete	BniB03g048420.1C2.1	3556.7	1806	https://v10-1.orthodb.org/?query=53at3699	Protein SWEETIE
58at3699	Complete	BniB01g054510.1C2.1	3390.0	1719	https://v10-1.orthodb.org/?query=58at3699	1,3-beta-glucan synthase subunit FKS1-like, domain-1
60at3699	Complete	BniB06g041410.1C2.1	3821.1	1747	https://v10-1.orthodb.org/?query=60at3699	Callose synthase 5
62at3699	Complete	BniB05g014470.1C2.1	3168.1	1823	https://v10-1.orthodb.org/?query=62at3699	Separase
71at3699	Missing
74at3699	Missing
75at3699	Missing
78at3699	Complete	BniB08g030200.1C2.1	3199.4	1612	https://v10-1.orthodb.org/?query=78at3699	ABC transporter A
79at3699	Complete	BniB07g060890.1C2.1	3235.7	1780	https://v10-1.orthodb.org/?query=79at3699	Zinc finger, PHD-type
81at3699	Missing
83at3699	Complete	BniB06g066070.1C2.1	3138.5	1637	https://v10-1.orthodb.org/?query=83at3699	Bacterial Ig-like, group 2
84at3699	Complete	BniB06g020250.1C2.1	3212.5	1651	https://v10-1.orthodb.org/?query=84at3699	Nucleoporin Nup186/Nup192/Nup205
90at3699	Missing
91at3699	Complete	BniB04g000020.1C2.1	3176.9	1721	https://v10-1.orthodb.org/?query=91at3699	Nucleoporin (DUF3414)
94at3699	Complete	BniB08g068820.1C2.1	2486.3	1655	https://v10-1.orthodb.org/?query=94at3699	uncharacterized protein LOC103840946
96at3699	Complete	BniB05g005410.1C2.1	2920.9	1542	https://v10-1.orthodb.org/?query=96at3699	Tetratricopeptide repeat (TPR)-like superfamily protein
97at3699	Missing
98at3699	Duplicated	BniB08g027950.1C2.1	3031.2	1510	https://v10-1.orthodb.org/?query=98at3699	RNA polymerase Rpb1, domain 3
98at3699	Duplicated	BniB06g007150.1C2.1	2712.3	1462	https://v10-1.orthodb.org/?query=98at3699	RNA polymerase Rpb1, domain 3
102at3699	Complete	BniB08g006290.1C2.1	3117.4	1435	https://v10-1.orthodb.org/?query=102at3699	Zinc finger, RING-type
103at3699	Complete	BniB07g026220.1C2.1	3320.4	1602	https://v10-1.orthodb.org/?query=103at3699	Proteasome activator Blm10, mid region
107at3699	Complete	BniB06g068860.1C2.1	3002.4	1474	https://v10-1.orthodb.org/?query=107at3699	Sec7, C-terminal
