	27622715.filtered.fna	GCF_000695525.1_BOL_genomic.filtered.fna	GWHBKLA00000000.genome.filtered.fna	GWHDTWX00000000.genome.filtered.fna	GWHDTYA00000000.genome.filtered.fna	GWHDTYE00000000.genome.filtered.fna	GWHDTYJ00000000.genome.filtered.fna	GWHDTYK00000000.genome.filtered.fna	GWHDTYL00000000.genome.filtered.fna	GWHDUBH00000000.genome.filtered.fna	GWHDUBI00000000.genome.filtered.fna	GWHDUBL00000000.genome.filtered.fna	GWHDUBP00000000.genome.filtered.fna	GWHDUBS00000000.genome.filtered.fna	OX_heart_genome_wrapped.filtered.fna
Number of sequences:	10	601	191	23	15	15	166	213	30	11	24	24	62	72	401
Total sequence length:	552847295	470004740	553270725	558945262	549019952	552221523	565466213	558040019	572041810	551974015	580974251	573421876	584163424	534419652	564455087
Average sequence length:	55284729.5	782037.8369384359	2896705.3664921466	24301967.913043477	36601330.13333333	36814768.2	3406422.9698795183	2619906.192488263	19068060.333333332	50179455.90909091	24207260.458333332	23892578.166666668	9421990.709677419	7422495.166666667	1407618.6708229426
Std. dev. sequence length:	18530930.917005267	6093354.180734638	12946595.392644238	30517057.216655053	30392579.292503394	30622118.18724842	13504068.206321616	11847533.569136366	29123191.931508083	24885540.310075235	30920022.384467907	30572313.55059575	22546237.513997354	19479825.758852266	8959271.80121419
Minimum sequence length:	5291835	10018	11398	78690	18914	13465	15341	12361	55456	108313	24882	105594	15087	17951	10118
Maximum sequence length:	78655145	64984695	80127416	77635746	77492250	77035298	73659243	74029832	76876776	79110931	81748926	77479428	78219189	74621860	76131090
Median sequence length:	58359348.5	25049.0	46247.0	273817.0	51759660.0	52459267.0	63395.0	55831.0	192672.5	57628984.0	783344.5	803149.5	114513.5	114545.0	21522.0
N25 sequence index:	2	2	2	2	2	2	3	3	2	2	2	2	2	2	2
N25 sequence length:	68427143	54679868	66754017	69347528	66732291	68672685	65158812	63952917	70154266	69093832	71016798	70270774	71337645	63401356	67801736
N50 sequence index:	5	5	4	5	5	4	5	5	5	4	4	5	5	5	5
N50 sequence length:	59208503	48366697	64638171	62057483	60302895	65135299	56636074	55506693	61412808	62825707	68709032	59500280	60472951	56484001	59441974
N75 sequence index:	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
N75 sequence length:	53272422	43764888	53402115	54689441	54756945	53713606	52094905	51820058	55754937	55980782	56303276	57524651	55255817	54611518	51828545
N95 sequence index:	9	9	9	9	9	9	11	11	9	9	9	9	9	9	9
N95 sequence length:	49705675	39822476	48243757	49710501	48506227	50652487	2592786	2545445	51933395	47285378	50417254	52469740	53189597	49547750	47389284
