	27622715.raw.pep.faa	GCF_000695525.1_BOL_genomic.raw.pep.faa	GWHBKLA00000000.raw.pep.faa	GWHDTWX00000000.raw.pep.faa	GWHDTYA00000000.raw.pep.faa	GWHDTYE00000000.raw.pep.faa	GWHDTYJ00000000.raw.pep.faa	GWHDTYK00000000.raw.pep.faa	GWHDTYL00000000.raw.pep.faa	GWHDUBH00000000.raw.pep.faa	GWHDUBI00000000.raw.pep.faa	GWHDUBL00000000.raw.pep.faa	GWHDUBP00000000.raw.pep.faa	GWHDUBS00000000.raw.pep.faa	OX_heart.raw.pep.faa
Number of sequences:	70412	56610	59398	52455	52966	52324	51048	50938	52658	53409	52606	52705	54905	51515	68277
Total sequence length:	23628252	23449187	20316234	19007726	18857366	18751969	18045238	18135746	19173258	18947476	18915463	18913948	19375265	18610201	21914446
Average sequence length:	335.5713798784298	414.22340575869987	342.03565776625476	362.36252025545707	356.027753653287	358.381794205336	353.4954944366087	356.03569044721036	364.10911922215047	354.76185661592615	359.5685473139946	358.86439616734657	352.8870776796285	361.25790546442784	320.9638091890388
Std. dev. sequence length:	282.4206411870298	297.82679125677834	282.50511150445254	288.68075180380777	283.4313304758471	285.29335439847114	280.41971744410483	283.2593181506093	289.3082209429453	282.9034328197358	285.28175840271405	285.5915829301927	281.66985681707564	286.6875023980191	278.90276376862437
Minimum sequence length:	26	25	49	49	34	35	34	49	49	36	49	45	49	49	27
Maximum sequence length:	5364	5364	5363	5361	5360	5361	5360	5360	5361	5362	5312	5364	5077	5361	5364
Median sequence length:	262.0	346.0	271.0	292.0	287.0	289.0	285.0	287.0	294.0	285.0	289.0	290.0	283.0	292.0	242.0
N25 sequence index:	5809	5376	4945	4536	4591	4529	4450	4428	4559	4630	4589	4573	4715	4489	5414
N25 sequence length:	724	783	726	738	725	734	719	727	741	725	735	729	724	731	709
N50 sequence index:	16183	14877	13901	12720	12822	12665	12405	12341	12766	12906	12728	12793	13263	12535	15279
N50 sequence length:	469	508	469	480	474	475	468	472	483	474	481	475	467	478	458
N75 sequence index:	32003	28932	27482	25019	25203	24932	24430	24286	25166	25404	25041	25196	26189	24662	30523
N75 sequence length:	292	340	294	307	302	303	298	302	307	300	304	303	298	305	276
N95 sequence index:	56438	47349	47755	42736	43097	42601	41613	41432	42915	43459	42845	42959	44745	41983	54916
N95 sequence length:	116	171	122	137	133	135	134	134	138	133	135	135	133	137	108
