# BUSCO version is: 5.8.3 
# The lineage dataset is: brassicales_odb10 (Creation date: 2024-01-08, number of genomes: 10, number of BUSCOs: 4596)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
1at3699	Complete	BroT14.C05g56260.1	9017.3	4307	https://v10-1.orthodb.org/?query=1at3699	Zinc finger, ZZ-type
2at3699	Complete	BroT14.C07g38420.1	8777.6	4198	https://v10-1.orthodb.org/?query=2at3699	Zinc finger, RING/FYVE/PHD-type
14at3699	Complete	BroT14.C07g37260.1	5321.1	2870	https://v10-1.orthodb.org/?query=14at3699	Vacuolar protein sorting-associated protein 13, N-terminal domain
15at3699	Complete	BroT14.C03g58310.1	5097.0	2572	https://v10-1.orthodb.org/?query=15at3699	Phosphatidylinositol 3-/4-kinase, catalytic domain
18at3699	Complete	BroT14.C01g00550.1	4989.1	2557	https://v10-1.orthodb.org/?query=18at3699	Spatacsin, C-terminal domain
19at3699	Complete	BroT14.C01g27350.1	5080.9	2646	https://v10-1.orthodb.org/?query=19at3699	Vacuolar protein sorting-associated protein 13, C-terminal
20at3699	Complete	BroT14.C01g31780.1	4751.7	2269	https://v10-1.orthodb.org/?query=20at3699	BEACH domain
30at3699	Complete	BroT14.C04g20900.1	4727.5	2226	https://v10-1.orthodb.org/?query=30at3699	DnaJ domain
31at3699	Complete	BroT14.C03g29050.1	4415.5	2165	https://v10-1.orthodb.org/?query=31at3699	Zinc finger FYVE domain protein
33at3699	Fragmented	BroT14.C02g33000.1	3583.1	1797	https://v10-1.orthodb.org/?query=33at3699	Protein ILITYHIA
34at3699	Complete	BroT14.C05g40460.1	3982.8	2341	https://v10-1.orthodb.org/?query=34at3699	Kinesin motor domain
37at3699	Complete	BroT14.C04g42330.1	4448.7	2264	https://v10-1.orthodb.org/?query=37at3699	FMP27,  C-terminal
38at3699	Complete	BroT14.C04g01470.1	4227.4	2188	https://v10-1.orthodb.org/?query=38at3699	WD40 repeat
42at3699	Complete	BroT14.C03g15780.1	4401.5	1964	https://v10-1.orthodb.org/?query=42at3699	Glutamate synthase, alpha subunit, C-terminal
43at3699	Complete	BroT14.C07g37530.1	4028.6	2061	https://v10-1.orthodb.org/?query=43at3699	Sec39 domain
45at3699	Complete	BroT14.C02g53370.1	3307.0	1464	https://v10-1.orthodb.org/?query=45at3699	DExH-box ATP-dependent RNA helicase DExH14
49at3699	Complete	BroT14.C04g45270.1	3594.6	1742	https://v10-1.orthodb.org/?query=49at3699	Embryo defective 2410
50at3699	Complete	BroT14.C07g32240.1	3491.5	1793	https://v10-1.orthodb.org/?query=50at3699	Thyroid adenoma-associated-like protein
51at3699	Missing
53at3699	Complete	BroT14.C06g34740.1	3610.3	1804	https://v10-1.orthodb.org/?query=53at3699	Protein SWEETIE
58at3699	Complete	BroT14.C05g46110.1	3932.9	1788	https://v10-1.orthodb.org/?query=58at3699	1,3-beta-glucan synthase subunit FKS1-like, domain-1
60at3699	Complete	BroT14.C09g11050.1	3809.3	1747	https://v10-1.orthodb.org/?query=60at3699	Callose synthase 5
62at3699	Duplicated	BroT14.C07g45980.1	3145.3	1824	https://v10-1.orthodb.org/?query=62at3699	Separase
62at3699	Duplicated	BroT14.C01g16420.1	3245.7	1822	https://v10-1.orthodb.org/?query=62at3699	Separase
71at3699	Complete	BroT14.C04g10580.1	3875.0	1767	https://v10-1.orthodb.org/?query=71at3699	1,3-beta-glucan synthase subunit FKS1-like, domain-1
74at3699	Complete	BroT14.C05g43270.1	3048.0	1665	https://v10-1.orthodb.org/?query=74at3699	Kinesin motor domain
75at3699	Duplicated	BroT14.C08g31870.1	3554.0	1715	https://v10-1.orthodb.org/?query=75at3699	SNF2-related, N-terminal domain
75at3699	Duplicated	BroT14.C04g31710.1	3487.6	1714	https://v10-1.orthodb.org/?query=75at3699	SNF2-related, N-terminal domain
78at3699	Complete	BroT14.C03g24770.1	3248.7	1612	https://v10-1.orthodb.org/?query=78at3699	ABC transporter A
79at3699	Duplicated	BroT14.C01g51930.1	3285.9	1775	https://v10-1.orthodb.org/?query=79at3699	Zinc finger, PHD-type
79at3699	Duplicated	BroT14.C05g55750.1	3103.2	1759	https://v10-1.orthodb.org/?query=79at3699	Zinc finger, PHD-type
81at3699	Complete	BroT14.C05g00830.1	3346.7	1577	https://v10-1.orthodb.org/?query=81at3699	Dicer dimerisation domain
83at3699	Complete	BroT14.C06g16830.1	3271.6	1672	https://v10-1.orthodb.org/?query=83at3699	Bacterial Ig-like, group 2
84at3699	Complete	BroT14.C07g21270.1	3350.8	1651	https://v10-1.orthodb.org/?query=84at3699	Nucleoporin Nup186/Nup192/Nup205
90at3699	Complete	BroT14.C05g47840.1	3259.5	1678	https://v10-1.orthodb.org/?query=90at3699	SNF2-related, N-terminal domain
91at3699	Complete	BroT14.C07g55940.1	3201.8	1721	https://v10-1.orthodb.org/?query=91at3699	Nucleoporin (DUF3414)
