	BoleraceaHDEM_annotation.filtered.pep.faa	GCF_000695525.1_BOL_genomic.filtered.pep.faa	GWHAASO00000000.filtered.pep.faa	GWHBKKZ00000000.filtered.pep.faa	GWHBKLA00000000.filtered.pep.faa	GWHDTWV00000000.filtered.pep.faa	GWHDTWX00000000.filtered.pep.faa	GWHDTYA00000000.filtered.pep.faa	GWHDTYD00000000.filtered.pep.faa	GWHDTYG00000000.filtered.pep.faa	GWHDTYH00000000.filtered.pep.faa	GWHDTYK00000000.filtered.pep.faa	GWHDTYL00000000.filtered.pep.faa	GWHDTYM00000000.filtered.pep.faa	GWHDUBI00000000.filtered.pep.faa	GWHDUBJ00000000.filtered.pep.faa	GWHDUBL00000000.filtered.pep.faa	GWHDUBP00000000.filtered.pep.faa	GWHEQVE00000000.filtered.pep.faa	GWHEQVJ00000000.filtered.pep.faa	GWHEQVL00000000.filtered.pep.faa	GWHEQVM00000000.filtered.pep.faa	GWHEQVN00000000.filtered.pep.faa	GWHEQVO00000000.filtered.pep.faa	OX_heart.filtered.pep.faa
Number of sequences:	59254	43679	59060	53879	59398	53330	52455	52963	51824	52557	53402	50938	52658	50754	52606	52055	52704	54905	52872	53133	51763	52848	52139	52059	61869
Total sequence length:	19011283	17493975	22679325	19546199	20316234	19034900	19007726	18857259	18565571	18832894	19008306	18135746	19173258	18060870	18915463	18662248	18913903	19375265	18221632	18533543	18269922	18157165	18282500	18062958	18953660
Average sequence length:	320.8438755189523	400.5122598960599	384.00482560108367	362.77954305016794	342.03565776625476	356.92668291768234	362.36252025545707	356.04589996790213	358.24272537820315	358.332743497536	355.9474551514925	356.03569044721036	364.10911922215047	355.8511644402412	359.5685473139946	358.51019114398235	358.87035139647844	352.8870776796285	344.63670752004845	348.81416445523496	352.9533064157796	343.5733613381774	350.6492261071367	346.9708984037342	306.35148458840456
Std. dev. sequence length:	279.7115304418697	281.2613902111331	276.5800005583382	290.5403208600809	282.50511150445254	283.01782051729896	288.68075180380777	283.42910149624856	284.8884056420926	284.101913666903	282.3366756861317	283.2593181506093	289.3082209429453	281.2044446017766	285.28175840271405	283.66349249290175	285.5910198689101	281.66985681707564	274.8987824524695	275.76529127136985	276.87543316314674	272.57980057867303	277.60377704594475	274.2656941839188	269.31743151045384
Minimum sequence length:	49	37	50	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49
Maximum sequence length:	5078	5364	5403	5361	5363	5360	5361	5360	5361	5356	5364	5360	5361	5361	5312	5361	5364	5077	5367	5363	5367	5364	5363	5367	5364
Median sequence length:	242.0	338.0	317.0	292.0	271.0	289.0	292.0	287.0	290.0	288.0	289.0	287.0	294.0	290.0	289.0	290.0	290.0	283.0	283.0	288.0	291.0	282.0	289.0	286.0	224.0
N25 sequence index:	4675	4249	5576	4610	4945	4642	4536	4591	4491	4565	4652	4428	4559	4450	4589	4550	4573	4715	4643	4714	4610	4656	4610	4616	4833
N25 sequence length:	716	740	725	752	726	723	738	725	725	729	721	727	741	718	735	725	729	724	694	693	702	688	702	693	681
N50 sequence index:	13192	11675	15455	12945	13901	12991	12720	12822	12609	12743	12978	12341	12766	12409	12728	12696	12793	13263	12801	12960	12714	12851	12722	12693	13669
N50 sequence length:	458	491	475	482	469	473	480	474	472	476	473	472	483	470	481	475	475	467	467	472	471	462	471	468	440
N75 sequence index:	26400	22498	30178	25554	27482	25533	25019	25203	24797	25083	25513	24286	25166	24309	25041	24936	25196	26189	24901	25174	24711	25081	24760	24655	27531
N75 sequence length:	277	330	311	308	294	302	307	302	303	303	302	302	307	303	304	303	303	298	302	303	306	296	304	302	258
N95 sequence index:	47224	36683	49764	43722	47755	43469	42736	43096	42251	42822	43500	41432	42915	41302	42845	42474	42959	44745	42634	42910	41844	42784	42116	42057	50116
N95 sequence length:	110	167	156	135	122	135	137	133	135	135	133	134	138	135	135	136	135	133	125	130	132	127	130	128	103
