# BUSCO version is: 5.8.3 
# The lineage dataset is: brassicales_odb10 (Creation date: 2024-01-08, number of genomes: 10, number of BUSCOs: 4596)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
1at3699	Complete	BroT24.C05g54400.1	9011.7	4307	https://v10-1.orthodb.org/?query=1at3699	Zinc finger, ZZ-type
2at3699	Complete	BroT24.C07g36190.1	8787.9	4198	https://v10-1.orthodb.org/?query=2at3699	Zinc finger, RING/FYVE/PHD-type
14at3699	Complete	BroT24.C07g34880.1	5324.6	2870	https://v10-1.orthodb.org/?query=14at3699	Vacuolar protein sorting-associated protein 13, N-terminal domain
15at3699	Fragmented	BroT24.C03g56530.1	1385.7	626	https://v10-1.orthodb.org/?query=15at3699	Phosphatidylinositol 3-/4-kinase, catalytic domain
18at3699	Complete	BroT24.C01g00520.1	4980.9	2557	https://v10-1.orthodb.org/?query=18at3699	Spatacsin, C-terminal domain
19at3699	Complete	BroT24.C01g26130.1	5099.0	2657	https://v10-1.orthodb.org/?query=19at3699	Vacuolar protein sorting-associated protein 13, C-terminal
20at3699	Complete	BroT24.C01g30690.1	4752.3	2269	https://v10-1.orthodb.org/?query=20at3699	BEACH domain
30at3699	Complete	BroT24.C04g19700.1	4728.1	2226	https://v10-1.orthodb.org/?query=30at3699	DnaJ domain
31at3699	Complete	BroT24.C03g27970.1	4422.5	2165	https://v10-1.orthodb.org/?query=31at3699	Zinc finger FYVE domain protein
33at3699	Complete	BroT24.C02g32810.1	4648.1	2306	https://v10-1.orthodb.org/?query=33at3699	Protein ILITYHIA
34at3699	Complete	BroT24.C05g38920.1	3955.3	2328	https://v10-1.orthodb.org/?query=34at3699	Kinesin motor domain
37at3699	Complete	BroT24.C04g40960.1	4466.8	2264	https://v10-1.orthodb.org/?query=37at3699	FMP27,  C-terminal
38at3699	Complete	BroT24.C04g01320.1	4229.0	2188	https://v10-1.orthodb.org/?query=38at3699	WD40 repeat
42at3699	Complete	BroT24.C03g15590.1	4404.0	1964	https://v10-1.orthodb.org/?query=42at3699	Glutamate synthase, alpha subunit, C-terminal
43at3699	Complete	BroT24.C07g35270.1	4022.2	2061	https://v10-1.orthodb.org/?query=43at3699	Sec39 domain
45at3699	Complete	BroT24.C02g52310.1	4009.0	1817	https://v10-1.orthodb.org/?query=45at3699	DExH-box ATP-dependent RNA helicase DExH14
49at3699	Complete	BroT24.C04g43900.1	3592.1	1742	https://v10-1.orthodb.org/?query=49at3699	Embryo defective 2410
50at3699	Complete	BroT24.C07g30080.1	3491.6	1793	https://v10-1.orthodb.org/?query=50at3699	Thyroid adenoma-associated-like protein
51at3699	Complete	BroT24.C08g43440.1	3710.3	1901	https://v10-1.orthodb.org/?query=51at3699	DNA2/NAM7 helicase, AAA domain
53at3699	Complete	BroT24.C06g32340.1	3601.9	1804	https://v10-1.orthodb.org/?query=53at3699	Protein SWEETIE
58at3699	Complete	BroT24.C05g43950.1	3926.0	1788	https://v10-1.orthodb.org/?query=58at3699	1,3-beta-glucan synthase subunit FKS1-like, domain-1
60at3699	Complete	BroT24.C09g11120.1	3809.3	1747	https://v10-1.orthodb.org/?query=60at3699	Callose synthase 5
62at3699	Duplicated	BroT24.C07g43570.1	3147.3	1824	https://v10-1.orthodb.org/?query=62at3699	Separase
62at3699	Duplicated	BroT24.C01g15990.1	3272.4	1822	https://v10-1.orthodb.org/?query=62at3699	Separase
71at3699	Complete	BroT24.C04g10330.1	3875.2	1767	https://v10-1.orthodb.org/?query=71at3699	1,3-beta-glucan synthase subunit FKS1-like, domain-1
74at3699	Complete	BroT24.C05g41220.1	3048.0	1665	https://v10-1.orthodb.org/?query=74at3699	Kinesin motor domain
75at3699	Complete	BroT24.C08g30380.1	3552.9	1715	https://v10-1.orthodb.org/?query=75at3699	SNF2-related, N-terminal domain
78at3699	Complete	BroT24.C03g23920.1	3248.7	1612	https://v10-1.orthodb.org/?query=78at3699	ABC transporter A
79at3699	Duplicated	BroT24.C01g49750.1	3288.9	1775	https://v10-1.orthodb.org/?query=79at3699	Zinc finger, PHD-type
79at3699	Duplicated	BroT24.C05g54900.1	3103.2	1759	https://v10-1.orthodb.org/?query=79at3699	Zinc finger, PHD-type
81at3699	Complete	BroT24.C05g00800.1	3354.3	1577	https://v10-1.orthodb.org/?query=81at3699	Dicer dimerisation domain
83at3699	Complete	BroT24.C06g15370.1	3271.6	1672	https://v10-1.orthodb.org/?query=83at3699	Bacterial Ig-like, group 2
84at3699	Complete	BroT24.C07g20620.1	3350.7	1651	https://v10-1.orthodb.org/?query=84at3699	Nucleoporin Nup186/Nup192/Nup205
90at3699	Complete	BroT24.C05g45760.1	3260.4	1678	https://v10-1.orthodb.org/?query=90at3699	SNF2-related, N-terminal domain
91at3699	Complete	BroT24.C07g53260.1	3201.8	1721	https://v10-1.orthodb.org/?query=91at3699	Nucleoporin (DUF3414)
94at3699	Complete	BroT24.C08g26810.1	2522.7	1694	https://v10-1.orthodb.org/?query=94at3699	uncharacterized protein LOC103840946
