#Please be aware that not every genome will have a gene in accessory groups
Homology group,Class,Genome number,Number of copies,Genome 1,Genome 10,Genome 11,Genome 12,Genome 13,Genome 14,Genome 15,Genome 16,Genome 2,Genome 3,Genome 4,Genome 5,Genome 6,Genome 7,Genome 8,Genome 9
60261,accessory,3,2,1,2,2,2,2,2,2,1,2,,2,2,2,2,2,2,
60262,accessory,1,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,
60262,accessory,10,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,
60262,accessory,3,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,
60263,accessory,1,1,,1,1,1,1,1,,1,1,1,,1,1,1,1,1,
60263,accessory,15,1,,1,1,1,1,1,,1,1,1,,1,1,1,1,1,
60263,accessory,4,1,,1,1,1,1,1,,1,1,1,,1,1,1,1,1,
60264,accessory,11,1,1,1,,1,1,,,1,1,1,1,1,1,1,1,1,
60264,accessory,14,1,1,1,,1,1,,,1,1,1,1,1,1,1,1,1,
60264,accessory,15,1,1,1,,1,1,,,1,1,1,1,1,1,1,1,1,
60265,accessory,10,1,1,,,1,1,1,1,1,1,1,1,1,1,,1,1,
60265,accessory,11,1,1,,,1,1,1,1,1,1,1,1,1,1,,1,1,
60265,accessory,7,1,1,,,1,1,1,1,1,1,1,1,1,1,,1,1,
60266,accessory,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,
60266,accessory,16,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,
60266,accessory,8,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,
60267,accessory,10,1,1,,,1,1,1,1,1,1,1,1,1,,1,1,1,
60267,accessory,11,1,1,,,1,1,1,1,1,1,1,1,1,,1,1,1,
60267,accessory,6,1,1,,,1,1,1,1,1,1,1,1,1,,1,1,1,
60268,accessory,13,1,1,1,1,1,,1,1,1,1,1,1,1,,,1,1,
60268,accessory,6,1,1,1,1,1,,1,1,1,1,1,1,1,,,1,1,
60268,accessory,7,1,1,1,1,1,,1,1,1,1,1,1,1,,,1,1,
60269,accessory,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,
60269,accessory,5,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,
60270,accessory,5,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,
60270,accessory,6,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,
60271,accessory,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
60271,accessory,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
60276,accessory,1,1,,,,,,,,,1,,,,,,,,
60276,accessory,10,1,,,,,,,,,1,,,,,,,,
60276,accessory,11,1,,,,,,,,,1,,,,,,,,
60276,accessory,12,1,,,,,,,,,1,,,,,,,,
60276,accessory,13,1,,,,,,,,,1,,,,,,,,
60276,accessory,14,1,,,,,,,,,1,,,,,,,,
60276,accessory,15,1,,,,,,,,,1,,,,,,,,
60276,accessory,16,1,,,,,,,,,1,,,,,,,,
60276,accessory,3,1,,,,,,,,,1,,,,,,,,
60276,accessory,4,1,,,,,,,,,1,,,,,,,,
60276,accessory,5,1,,,,,,,,,1,,,,,,,,
60276,accessory,6,1,,,,,,,,,1,,,,,,,,
60276,accessory,7,1,,,,,,,,,1,,,,,,,,
60276,accessory,8,1,,,,,,,,,1,,,,,,,,
60276,accessory,9,1,,,,,,,,,1,,,,,,,,
60277,accessory,1,1,,1,1,,1,,,,1,1,1,1,,,1,1,
60277,accessory,12,1,,1,1,,1,,,,1,1,1,1,,,1,1,
60277,accessory,14,1,,1,1,,1,,,,1,1,1,1,,,1,1,
60277,accessory,15,1,,1,1,,1,,,,1,1,1,1,,,1,1,
60277,accessory,16,1,,1,1,,1,,,,1,1,1,1,,,1,1,
60277,accessory,6,1,,1,1,,1,,,,1,1,1,1,,,1,1,
60277,accessory,7,1,,1,1,,1,,,,1,1,1,1,,,1,1,
60278,accessory,1,1,,,1,1,1,1,,1,1,1,1,1,1,,,,
60278,accessory,10,1,,,1,1,1,1,,1,1,1,1,1,1,,,,
60278,accessory,15,1,,,1,1,1,1,,1,1,1,1,1,1,,,,
