# BUSCO version is: 5.8.3 
# The lineage dataset is: brassicales_odb10 (Creation date: 2024-01-08, number of genomes: 10, number of BUSCOs: 4596)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
1at3699	Complete	AJChr05G04566	8631.3	4106	https://v10-1.orthodb.org/?query=1at3699	Zinc finger, ZZ-type
2at3699	Complete	AJChr03G04666	8826.6	4198	https://v10-1.orthodb.org/?query=2at3699	Zinc finger, RING/FYVE/PHD-type
14at3699	Complete	AJChr06G03783	5202.4	2870	https://v10-1.orthodb.org/?query=14at3699	Vacuolar protein sorting-associated protein 13, N-terminal domain
15at3699	Complete	AJChr06G02966	4752.0	2544	https://v10-1.orthodb.org/?query=15at3699	Phosphatidylinositol 3-/4-kinase, catalytic domain
18at3699	Complete	AJChr01G00045	5014.1	2556	https://v10-1.orthodb.org/?query=18at3699	Spatacsin, C-terminal domain
19at3699	Complete	AJChr01G02423	5074.2	2642	https://v10-1.orthodb.org/?query=19at3699	Vacuolar protein sorting-associated protein 13, C-terminal
20at3699	Complete	AJChr01G03250	4769.3	2269	https://v10-1.orthodb.org/?query=20at3699	BEACH domain
30at3699	Complete	AJChr07G01846	4771.0	2228	https://v10-1.orthodb.org/?query=30at3699	DnaJ domain
31at3699	Complete	AJChr03G02774	4422.6	2165	https://v10-1.orthodb.org/?query=31at3699	Zinc finger FYVE domain protein
33at3699	Complete	AJChr02G02790	4657.0	2306	https://v10-1.orthodb.org/?query=33at3699	Protein ILITYHIA
34at3699	Complete	AJChr05G03158	3986.2	2342	https://v10-1.orthodb.org/?query=34at3699	Kinesin motor domain
37at3699	Complete	AJChr04G01782	4403.9	2264	https://v10-1.orthodb.org/?query=37at3699	FMP27,  C-terminal
38at3699	Complete	AJChr05G00154	4250.1	2187	https://v10-1.orthodb.org/?query=38at3699	WD40 repeat
42at3699	Complete	AJChr03G01582	4403.3	1964	https://v10-1.orthodb.org/?query=42at3699	Glutamate synthase, alpha subunit, C-terminal
43at3699	Complete	AJChr06G03738	4055.1	2061	https://v10-1.orthodb.org/?query=43at3699	Sec39 domain
45at3699	Complete	AJChr02G04537	3951.0	1817	https://v10-1.orthodb.org/?query=45at3699	DExH-box ATP-dependent RNA helicase DExH14
49at3699	Complete	AJChr04G02038	3535.6	1747	https://v10-1.orthodb.org/?query=49at3699	Embryo defective 2410
50at3699	Complete	AJChr06G04295	3501.6	1793	https://v10-1.orthodb.org/?query=50at3699	Thyroid adenoma-associated-like protein
51at3699	Complete	AJChr09G06186	3707.5	1901	https://v10-1.orthodb.org/?query=51at3699	DNA2/NAM7 helicase, AAA domain
53at3699	Complete	AJChr07G03382	3609.8	1804	https://v10-1.orthodb.org/?query=53at3699	Protein SWEETIE
58at3699	Complete	AJChr05G03590	3889.3	1788	https://v10-1.orthodb.org/?query=58at3699	1,3-beta-glucan synthase subunit FKS1-like, domain-1
60at3699	Complete	AJChr09G01042	3817.4	1747	https://v10-1.orthodb.org/?query=60at3699	Callose synthase 5
62at3699	Duplicated	AJChr01G01411	3203.5	1823	https://v10-1.orthodb.org/?query=62at3699	Separase
62at3699	Duplicated	AJChr03G05377	3091.3	1799	https://v10-1.orthodb.org/?query=62at3699	Separase
71at3699	Complete	AJChr05G00911	3869.1	1767	https://v10-1.orthodb.org/?query=71at3699	1,3-beta-glucan synthase subunit FKS1-like, domain-1
74at3699	Complete	AJChr05G03341	2781.3	1480	https://v10-1.orthodb.org/?query=74at3699	Kinesin motor domain
75at3699	Complete	AJChr09G04853	3561.4	1715	https://v10-1.orthodb.org/?query=75at3699	SNF2-related, N-terminal domain
78at3699	Complete	AJChr03G02397	3369.8	1612	https://v10-1.orthodb.org/?query=78at3699	ABC transporter A
79at3699	Duplicated	AJChr01G05126	3204.4	1777	https://v10-1.orthodb.org/?query=79at3699	Zinc finger, PHD-type
79at3699	Duplicated	AJChr05G04620	3018.2	1771	https://v10-1.orthodb.org/?query=79at3699	Zinc finger, PHD-type
81at3699	Complete	AJChr10G00092	3299.6	1577	https://v10-1.orthodb.org/?query=81at3699	Dicer dimerisation domain
83at3699	Complete	AJChr07G02062	3273.2	1672	https://v10-1.orthodb.org/?query=83at3699	Bacterial Ig-like, group 2
84at3699	Complete	AJChr07G01833	3353.6	1651	https://v10-1.orthodb.org/?query=84at3699	Nucleoporin Nup186/Nup192/Nup205
90at3699	Complete	AJChr05G03766	3260.1	1678	https://v10-1.orthodb.org/?query=90at3699	SNF2-related, N-terminal domain
91at3699	Complete	AJChr06G05139	3197.0	1721	https://v10-1.orthodb.org/?query=91at3699	Nucleoporin (DUF3414)
94at3699	Complete	AJChr09G04459	2535.9	1663	https://v10-1.orthodb.org/?query=94at3699	uncharacterized protein LOC103840946
96at3699	Complete	AJChr01G00539	2888.3	1540	https://v10-1.orthodb.org/?query=96at3699	Tetratricopeptide repeat (TPR)-like superfamily protein
97at3699	Complete	AJChr07G03248	2951.4	1505	https://v10-1.orthodb.org/?query=97at3699	DNA-directed DNA polymerase, family B, exonuclease domain
98at3699	Complete	AJChr03G02309	3024.7	1511	https://v10-1.orthodb.org/?query=98at3699	RNA polymerase Rpb1, domain 3
102at3699	Complete	AJChr03G00613	3130.2	1435	https://v10-1.orthodb.org/?query=102at3699	Zinc finger, RING-type
103at3699	Complete	AJChr03G03839	3307.0	1602	https://v10-1.orthodb.org/?query=103at3699	Proteasome activator Blm10, mid region
107at3699	Complete	AJChr04G00156	3194.0	1535	https://v10-1.orthodb.org/?query=107at3699	Sec7, C-terminal
112at3699	Complete	AJChr01G00942	2911.2	1505	https://v10-1.orthodb.org/?query=112at3699	tRNA/rRNA methyltransferase, SpoU type
113at3699	Complete	AJChr09G07037	3279.2	1541	https://v10-1.orthodb.org/?query=113at3699	Sec7, C-terminal
115at3699	Complete	AJChr04G02825	2922.6	1473	https://v10-1.orthodb.org/?query=115at3699	Protein SHOOT GRAVITROPISM 6
119at3699	Complete	AJChr07G03750	2884.7	1394	https://v10-1.orthodb.org/?query=119at3699	UDP-glucose:Glycoprotein Glucosyltransferase
121at3699	Complete	AJChr02G01987	2988.5	1441	https://v10-1.orthodb.org/?query=121at3699	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
125at3699	Complete	AJChr05G03147	2806.9	1539	https://v10-1.orthodb.org/?query=125at3699	Autophagy-related, C-terminal
132at3699	Complete	AJChr08G02712	2676.3	1384	https://v10-1.orthodb.org/?query=132at3699	THO complex, subunitTHOC2, C-terminal
