# BUSCO version is: 5.8.3 
# The lineage dataset is: brassicales_odb10 (Creation date: 2024-01-08, number of genomes: 10, number of BUSCOs: 4596)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
1at3699	Complete	rna-gnl_WGS_JASCRO_Bca4012C5G052380.1	9022.2	4307	https://v10-1.orthodb.org/?query=1at3699	Zinc finger, ZZ-type
2at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C7G036260.1	8795.1	4198	https://v10-1.orthodb.org/?query=2at3699	Zinc finger, RING/FYVE/PHD-type
2at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B2G058400.1	8287.0	4024	https://v10-1.orthodb.org/?query=2at3699	Zinc finger, RING/FYVE/PHD-type
14at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C7G034850.1	5108.7	2831	https://v10-1.orthodb.org/?query=14at3699	Vacuolar protein sorting-associated protein 13, N-terminal domain
14at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B2G059540.1	5063.4	2806	https://v10-1.orthodb.org/?query=14at3699	Vacuolar protein sorting-associated protein 13, N-terminal domain
15at3699	Complete	rna-gnl_WGS_JASCRO_Bca4012C3G049650.1	3384.5	2096	https://v10-1.orthodb.org/?query=15at3699	Phosphatidylinositol 3-/4-kinase, catalytic domain
18at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B5G018350.1	4860.1	2529	https://v10-1.orthodb.org/?query=18at3699	Spatacsin, C-terminal domain
18at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C1G025210.1	4838.7	2525	https://v10-1.orthodb.org/?query=18at3699	Spatacsin, C-terminal domain
19at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C1G014940.1	4496.5	2521	https://v10-1.orthodb.org/?query=19at3699	Vacuolar protein sorting-associated protein 13, C-terminal
19at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B5G026640.1	4437.6	2489	https://v10-1.orthodb.org/?query=19at3699	Vacuolar protein sorting-associated protein 13, C-terminal
20at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B7G031840.1	4500.7	2200	https://v10-1.orthodb.org/?query=20at3699	BEACH domain
20at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C1G022940.1	4193.3	2116	https://v10-1.orthodb.org/?query=20at3699	BEACH domain
