	Bnigra_C2.v1.genes.raw.pep.faa	GCA_000751015.1_AST_PRJEB5043_v1_genomic.raw.pep.faa	GCA_003260655.2_B_cretica_A_v2_genomic.raw.pep.faa	GCA_003260675.2_B_cretica_D_v2_genomic.raw.pep.faa	GCA_003434825.1_Brassica_rapa_FPsc_v1.3_genomic.raw.pep.faa	GCA_016771965.1_ASM1677196v1_genomic.raw.pep.faa	GCA_017639395.1_SCU_BraROA_2.3_genomic.raw.pep.faa	GCA_038677285.1_ASM3867728v1_genomic.raw.pep.faa	GCA_040550855.1_C4012_genomic.raw.pep.faa	GCA_040584065.1_ASM4058406v1_genomic.raw.pep.faa	GCA_900412535.3_brapa_z1_v2_genomic.raw.pep.faa	GCA_905183035.1_bnapus_darmor_bzh_v10_genomic.raw.pep.faa	GCF_000309985.2_CAAS_Brap_v3.01_genomic.raw.pep.faa	GCF_000695525.1_BOL_genomic.raw.pep.faa	GCF_020379485.1_Da-Ae_genomic.raw.pep.faa	GWHAAZX00000000.raw.pep.faa	GWHDTYM00000000.raw.pep.faa	GWHERGL00000000.raw.pep.faa	GWHERGM00000000.raw.pep.faa	OX_heart.raw.pep.faa
Number of sequences:	67020	61153	63131	62722	43332	97148	43129	124769	103768	102249	52701	108170	60607	56687	120351	45998	50754	49308	49243	68277
Total sequence length:	21152405	19862161	18186390	17260975	16757821	32444950	17615210	40109787	35675730	35966006	17893939	36242910	26672186	23465247	51436379	18522846	18060870	19190531	18079093	21914446
Average sequence length:	315.6133243807819	324.79454810066557	288.07384644627837	275.1980963617232	386.7308455644789	333.97445135257544	408.43075424888127	321.47237695260844	343.80281011487165	351.74922004127177	339.5369917079372	335.05509845613386	440.08424769416075	413.9440612486108	427.38638648619457	402.6880733944954	355.8511644402412	389.1971079743652	367.1403651280385	320.9638091890388
Std. dev. sequence length:	277.5219420055984	264.63711330480703	254.51655514375986	245.3971307008402	275.8210118687314	268.8189182443671	334.5990255593958	285.8753355779792	284.14020193368026	286.90863758085067	298.95152619071564	288.65924881548324	308.8047578994683	297.7685065099974	304.6751762974301	293.01595078899777	281.2044446017766	303.8266084477858	287.010953391427	278.90276376862437
Minimum sequence length:	1	10	49	49	30	49	51	49	49	49	33	33	25	25	25	49	49	9	16	27
Maximum sequence length:	5371	5076	4967	4115	5374	4154	5374	9613	5371	5371	5375	5375	5374	5364	5374	5376	5361	5374	5374	5364
Median sequence length:	240.0	261.0	208.0	197.0	334.0	265.0	326.0	241.0	273.0	283.0	262.0	260.0	372.0	346.0	359.0	335.0	290.0	318.0	305.0	242.0
N25 sequence index:	5225	5204	4861	4728	4215	8277	3598	9671	8704	8702	4127	8639	5881	5381	11483	4331	4450	4295	4369	5414
N25 sequence length:	704	680	651	627	720	692	861	718	725	737	762	742	816	783	804	769	718	805	746	709
N50 sequence index:	14843	14380	13823	13605	11451	23051	10153	27679	24317	24188	11679	24286	16228	14892	31847	11961	12409	11942	12061	15279
N50 sequence length:	448	450	408	388	487	455	541	453	472	480	487	477	528	508	518	499	470	511	488	458
N75 sequence index:	29802	28120	28364	28274	21865	45430	20255	55963	47894	47503	23181	48204	31436	28962	61895	23304	24309	23494	23463	30523
N75 sequence length:	274	286	235	220	331	285	346	273	298	306	306	296	362	340	351	331	303	333	318	276
N95 sequence index:	53003	48347	51241	51168	35589	78994	34663	100153	83532	82332	41115	85173	50773	47407	100758	38274	41302	39866	39906	54916
N95 sequence length:	109	119	100	97	159	120	152	111	120	124	115	116	187	171	179	163	135	144	135	108
