	GCA_001651475.1_Ler_Assembly_genomic.filtered.gff	GCA_902651935.1_araThaAn1v1_genomic.filtered.gff	GCA_902705455.1_araThaC24v1_genomic.filtered.gff	GCA_904420315.1_AT9943.Cdm-0.scaffold_genomic.filtered.gff	GCF_000001735.4_TAIR10.1_genomic.filtered.gff
region	30.0	46.0	29.0	7.0	7.0
gene	26978.0	27166.0	27000.0	45676.0	33748.0
mRNA	26978.0	27168.0	27002.0	23406.0	31409.0
exon	145243.0	140036.0	140327.0	299209.0	162458.0
CDS	137207.0	140036.0	140327.0	139964.0	141340.0
five_prime_UTR	32962.0	0.0	0.0	30546.0	27309.0
three_prime_UTR	28764.0	0.0	0.0	25654.0	24598.0
pseudogene	0.0	2.0	2.0	1130.0	4832.0
RNA	0.0	0.0	0.0	23400.0	12.0
intron	0.0	0.0	0.0	116645.0	0.0
tRNA	0.0	0.0	0.0	0.0	684.0
rRNA	0.0	0.0	0.0	0.0	14.0
lnc_RNA	0.0	0.0	0.0	0.0	3483.0
primary_transcript	0.0	0.0	0.0	0.0	326.0
miRNA	0.0	0.0	0.0	0.0	327.0
transcript	0.0	0.0	0.0	0.0	1436.0
antisense_RNA	0.0	0.0	0.0	0.0	79.0
snoRNA	0.0	0.0	0.0	0.0	287.0
sequence_feature	0.0	0.0	0.0	0.0	818.0
ncRNA	0.0	0.0	0.0	0.0	468.0
snRNA	0.0	0.0	0.0	0.0	82.0
repeat_region	0.0	0.0	0.0	0.0	29.0
inverted_repeat	0.0	0.0	0.0	0.0	34.0
