	27622715.filtered.gff	Bnigra_C2.v1.genes.filtered.gff	Bnigra_NI100.v2.genes.filtered.gff	BoleraceaHDEM_annotation.filtered.gff	GCA_000751015.1_AST_PRJEB5043_v1_genomic.filtered.gff	GCA_003260655.2_B_cretica_A_v2_genomic.filtered.gff	GCA_003260675.2_B_cretica_D_v2_genomic.filtered.gff	GCA_003434825.1_Brassica_rapa_FPsc_v1.3_genomic.filtered.gff	GCA_016771965.1_ASM1677196v1_genomic.filtered.gff	GCA_017639395.1_SCU_BraROA_2.3_genomic.filtered.gff	GCA_038677285.1_ASM3867728v1_genomic.filtered.gff	GCA_040550855.1_C4012_genomic.filtered.gff	GCA_040584065.1_ASM4058406v1_genomic.filtered.gff	GCA_900412535.3_brapa_z1_v2_genomic.filtered.gff	GCA_905183035.1_bnapus_darmor_bzh_v10_genomic.filtered.gff	GCF_000309985.2_CAAS_Brap_v3.01_genomic.filtered.gff	GCF_000695525.1_BOL_genomic.filtered.gff	GCF_020379485.1_Da-Ae_genomic.filtered.gff	GWHAASO00000000.filtered.gff	GWHAAZX00000000.filtered.gff	GWHBJSH00000000.filtered.gff	GWHBKKZ00000000.filtered.gff	GWHBKLA00000000.filtered.gff	GWHCAYN00000000.filtered.gff	GWHDTWV00000000.filtered.gff	GWHDTWX00000000.filtered.gff	GWHDTYA00000000.filtered.gff	GWHDTYD00000000.filtered.gff	GWHDTYE00000000.filtered.gff	GWHDTYG00000000.filtered.gff	GWHDTYH00000000.filtered.gff	GWHDTYJ00000000.filtered.gff	GWHDTYK00000000.filtered.gff	GWHDTYL00000000.filtered.gff	GWHDTYM00000000.filtered.gff	GWHDTZU00000000.filtered.gff	GWHDTZV00000000.filtered.gff	GWHDUBH00000000.filtered.gff	GWHDUBI00000000.filtered.gff	GWHDUBJ00000000.filtered.gff	GWHDUBL00000000.filtered.gff	GWHDUBM00000000.filtered.gff	GWHDUBP00000000.filtered.gff	GWHDUBR00000000.filtered.gff	GWHDUBS00000000.filtered.gff	GWHDUBT00000000.filtered.gff	GWHEQVE00000000.filtered.gff	GWHEQVJ00000000.filtered.gff	GWHEQVL00000000.filtered.gff	GWHEQVM00000000.filtered.gff	GWHEQVN00000000.filtered.gff	GWHEQVO00000000.filtered.gff	GWHERGL00000000.filtered.gff	GWHERGM00000000.filtered.gff	GWHFIKA00000000.1.filtered.gff	GWHFQTP00000000.1.filtered.gff	OX_heart.filtered.gff
gene	60250.0	65439.0	58814.0	59254.0	102856.0	63131.0	62722.0	39696.0	96708.0	65876.0	124769.0	103715.0	102226.0	93768.0	202405.0	49761.0	48584.0	113773.0	59060.0	45960.0	57983.0	53879.0	59398.0	86338.0	53330.0	52455.0	52963.0	51824.0	52323.0	52557.0	53402.0	51047.0	50938.0	52658.0	50754.0	51551.0	52874.0	53408.0	52606.0	52055.0	52704.0	53089.0	54905.0	52713.0	51515.0	50342.0	52872.0	53133.0	51763.0	52848.0	52139.0	52059.0	49083.0	49108.0	84648.0	95205.0	61869.0
mRNA	60250.0	65439.0	58814.0	59254.0	99955.0	63131.0	62722.0	39696.0	96708.0	43070.0	124769.0	103731.0	102246.0	91290.0	188817.0	41359.0	43679.0	90785.0	59060.0	45960.0	57983.0	53879.0	59398.0	86338.0	53330.0	52455.0	52963.0	51824.0	52323.0	52557.0	53402.0	51047.0	50938.0	52658.0	50754.0	51551.0	52874.0	53408.0	52606.0	52055.0	52704.0	53089.0	54905.0	52713.0	51515.0	50342.0	52872.0	53133.0	51763.0	52848.0	52139.0	52059.0	49083.0	49108.0	84648.0	95205.0	61869.0
exon	271677.0	289983.0	258252.0	260584.0	326261.0	251235.0	240988.0	204126.0	445096.0	294336.0	566605.0	474211.0	474211.0	284220.0	608360.0	253941.0	267841.0	560750.0	293273.0	242640.0	295849.0	251089.0	287794.0	442292.0	260180.0	258296.0	257084.0	253328.0	255845.0	255220.0	260652.0	243718.0	243822.0	259490.0	242478.0	245512.0	257746.0	258583.0	256657.0	254257.0	258497.0	259281.0	267874.0	257747.0	252095.0	239604.0	233251.0	237328.0	236529.0	235496.0	237065.0	231684.0	236859.0	238268.0	422146.0	486289.0	274992.0
CDS	264028.0	289983.0	258252.0	260584.0	271437.0	250612.0	240171.0	196733.0	445096.0	246668.0	547219.0	474211.0	474211.0	237681.0	488332.0	208245.0	215322.0	439847.0	293273.0	242640.0	270667.0	251089.0	282490.0	428431.0	260180.0	258296.0	257084.0	253328.0	255845.0	255220.0	260652.0	243718.0	243822.0	259490.0	242478.0	245512.0	257746.0	258583.0	256657.0	254257.0	258497.0	259281.0	267874.0	257747.0	252095.0	239604.0	233251.0	237328.0	236529.0	235496.0	237065.0	231684.0	236859.0	238268.0	413484.0	478728.0	267988.0
five_prime_UTR	31968.0	0.0	0.0	0.0	26831.0	637.0	741.0	31758.0	0.0	23473.0	61891.0	0.0	0.0	8879.0	61024.0	45963.0	41821.0	92575.0	0.0	1409.0	44596.0	0.0	23571.0	60196.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34821.0	32687.0	29010.0
three_prime_UTR	29559.0	0.0	0.0	0.0	27078.0	469.0	659.0	28021.0	0.0	24195.0	57980.0	0.0	0.0	8964.0	63514.0	41698.0	36402.0	83160.0	0.0	1409.0	43775.0	0.0	21896.0	55133.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35026.0	33108.0	26093.0
region	0.0	0.0	0.0	0.0	3486.0	20.0	17.0	103.0	787.0	161.0	19.0	390.0	243.0	10.0	105.0	542.0	460.0	1846.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RNA	0.0	0.0	0.0	0.0	2901.0	0.0	0.0	0.0	0.0	22806.0	0.0	0.0	0.0	2478.0	13588.0	1844.0	4409.0	9140.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pseudogene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	20.0	0.0	0.0	1869.0	4434.0	9253.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1473.0	922.0	2354.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
