	27622715.filtered.fna	Bnigra_C2.v1.genome.filtered.fna	Bnigra_NI100.v2.genome.filtered.fna	BoleraceaHDEM_chromosomes.filtered.fna	GCA_000751015.1_AST_PRJEB5043_v1_genomic.filtered.fna	GCA_003260655.2_B_cretica_A_v2_genomic.filtered.fna	GCA_003260675.2_B_cretica_D_v2_genomic.filtered.fna	GCA_003434825.1_Brassica_rapa_FPsc_v1.3_genomic.filtered.fna	GCA_016771965.1_ASM1677196v1_genomic.filtered.fna	GCA_017639395.1_SCU_BraROA_2.3_genomic.filtered.fna	GCA_038677285.1_ASM3867728v1_genomic.filtered.fna	GCA_040550855.1_C4012_genomic.filtered.fna	GCA_040584065.1_ASM4058406v1_genomic.filtered.fna	GCA_900412535.3_brapa_z1_v2_genomic.filtered.fna	GCA_905183035.1_bnapus_darmor_bzh_v10_genomic.filtered.fna	GCF_000309985.2_CAAS_Brap_v3.01_genomic.filtered.fna	GCF_000695525.1_BOL_genomic.filtered.fna	GCF_020379485.1_Da-Ae_genomic.filtered.fna	GWHAASO00000000.genome.filtered.fna	GWHAAZX00000000.genome.filtered.fna	GWHBJSH00000000.filtered.fna	GWHBKKZ00000000.genome.filtered.fna	GWHBKLA00000000.genome.filtered.fna	GWHCAYN00000000.genome.filtered.fna	GWHDTWV00000000.genome.filtered.fna	GWHDTWX00000000.genome.filtered.fna	GWHDTYA00000000.genome.filtered.fna	GWHDTYD00000000.genome.filtered.fna	GWHDTYE00000000.genome.filtered.fna	GWHDTYG00000000.genome.filtered.fna	GWHDTYH00000000.genome.filtered.fna	GWHDTYJ00000000.genome.filtered.fna	GWHDTYK00000000.genome.filtered.fna	GWHDTYL00000000.genome.filtered.fna	GWHDTYM00000000.genome.filtered.fna	GWHDTZU00000000.genome.filtered.fna	GWHDTZV00000000.genome.filtered.fna	GWHDUBH00000000.genome.filtered.fna	GWHDUBI00000000.genome.filtered.fna	GWHDUBJ00000000.genome.filtered.fna	GWHDUBL00000000.genome.filtered.fna	GWHDUBM00000000.genome.filtered.fna	GWHDUBP00000000.genome.filtered.fna	GWHDUBR00000000.genome.filtered.fna	GWHDUBS00000000.genome.filtered.fna	GWHDUBT00000000.genome.filtered.fna	GWHEQVE00000000.genome.filtered.fna	GWHEQVJ00000000.genome.filtered.fna	GWHEQVL00000000.genome.filtered.fna	GWHEQVM00000000.genome.filtered.fna	GWHEQVN00000000.genome.filtered.fna	GWHEQVO00000000.genome.filtered.fna	GWHERGL00000000.genome.filtered.fna	GWHERGM00000000.genome.filtered.fna	GWHFIKA00000000.1.genome.filtered.fna	GWHFQTP00000000.1.genome.filtered.fna	OX_heart_genome_wrapped.filtered.fna
Number of sequences:	10	943	58	115	4389	21	19	309	1181	180	19	451	265	210	237	1086	602	2975	504	2198	10	10	191	515	20	23	15	21	15	18	13	166	213	30	138	233	29	11	24	15	24	26	62	13	72	147	10	10	11	10	10	11	12	12	18	1390	401
Total sequence length:	552847295	536495148	506000232	554895121	792606711	323451286	281344721	302427827	1083580326	346046231	1004949250	1072718863	1070334916	443953949	923795763	352890373	470365011	1000860529	560411453	380438573	568515523	534464702	553270725	961721477	578707754	558945262	549019952	565573607	552221523	539874930	562159924	565466213	558040019	572041810	547890678	568244315	570744922	551974015	580974251	576023240	573421876	553363182	584163424	542384396	534419652	557259481	606364932	593560721	634424806	588360242	610908045	619573171	442090047	430528955	981817153	980445964	564455087
Average sequence length:	55284729.5	568923.8048780488	8724141.931034483	4825174.965217391	180589.36226930964	15402442.19047619	14807616.894736841	978730.8317152103	917510.8602878916	1922479.0611111112	52892065.78947368	2378534.0643015523	4038999.683018868	2114066.4238095237	3897872.417721519	324945.0948434622	781337.2275747508	336423.7072268908	1111927.486111111	173083.97315741584	56851552.3	53446470.2	2896705.3664921466	1867420.3436893204	28935387.7	24301967.913043477	36601330.13333333	26932076.523809522	36814768.2	29993051.666666668	43243071.07692308	3406422.9698795183	2619906.192488263	19068060.333333332	3970222.304347826	2438816.802575107	19680859.379310343	50179455.90909091	24207260.458333332	38401549.333333336	23892578.166666668	21283199.307692308	9421990.709677419	41721876.615384616	7422495.166666667	3790880.8231292516	60636493.2	59356072.1	57674982.36363637	58836024.2	61090804.5	56324833.72727273	36840837.25	35877412.916666664	54545397.38888889	705356.8086330935	1407618.6708229426
Std. dev. sequence length:	18530930.917005267	5510088.602953174	21386359.175998777	15885999.044083225	389444.0619175538	18154051.580736894	16086056.885058923	5157661.448579148	7187956.96436639	7808406.880027665	15110677.374125866	11718414.485015294	14936129.89159037	8794059.21239133	13053974.482446326	2908591.3103850307	6088315.378898983	3649982.045679978	8012829.169083255	2094103.4128814598	17658173.751603615	16389952.5676607	12946595.392644238	9876865.05108862	31940587.106796462	30517057.216655053	30392579.292503394	30994182.737565953	30622118.18724842	30416112.791649017	29612688.436186288	13504068.206321616	11847533.569136366	29123191.931508083	14504815.632292887	11542026.587217666	29419977.151023053	24885540.310075235	30920022.384467907	31433573.793026358	30572313.55059575	29426138.893225018	22546237.513997354	28649683.719901986	19479825.758852266	14266451.592763225	21284146.397147413	20896916.812368378	25728167.075552303	20979594.90060115	21448191.357597455	27199848.330193143	19819287.922924545	19490911.431367148	14741507.093923694	6057705.698876325	8959271.80121419
Minimum sequence length:	5291835	10159	12560	11322	10009	10304	10412	10010	10000	10536	26714908	10218	10167	30348	60731	10311	10018	10070	10018	10000	11402142	10276068	11398	18248	63020	78690	18914	124329	13465	50469	40000	15341	12361	55456	10887	11506	53867	108313	24882	90647	105594	27501	15087	54855	17951	14123	978592	200667	519546	72864	97716	22959	153483	153483	32503768	10082	10118
Maximum sequence length:	78655145	71072303	70847972	73711317	5197798	46022850	44274581	44888295	72379882	60281870	79204285	75391900	74943771	68194707	73669886	45156810	64984695	74222928	74510869	45122937	79842669	75319530	80127416	73231756	78384346	77635746	77492250	76500131	77035298	76029668	76376741	73659243	74029832	76876776	73465279	73980201	80411662	79110931	81748926	78617262	77479428	78331576	78219189	78011895	74621860	72895319	79032171	78880522	86880579	80057606	81976334	80790341	69317251	67734757	78361214	73462801	76131090
Median sequence length:	58359348.5	40744.0	92177.5	91072.0	41316.0	16087.0	14574.0	23503.0	24002.0	75739.5	56258522.0	57782.0	108543.0	111065.5	121592.0	40543.0	25140.0	39531.0	26576.0	23567.5	57842930.0	55586755.5	46247.0	42308.0	1176034.5	273817.0	51759660.0	1082794.0	52459267.0	23727535.5	57683825.0	63395.0	55831.0	192672.5	66776.5	58565.0	279598.0	57628984.0	783344.5	56592305.0	803149.5	222352.5	114513.5	53333409.0	114545.0	65658.0	65207764.0	65046222.0	60944144.0	62815079.0	66806586.5	66554978.0	38032731.0	37608502.5	58174937.5	34182.5	21522.0
N25 sequence index:	2	2	2	2	94	2	2	2	4	2	4	4	4	2	4	3	2	4	2	3	2	2	2	4	2	2	2	2	2	2	2	3	3	2	2	3	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	4	4	2
N25 sequence length:	68427143	68759150	68374191	65381821	1439762	40484784	36377748	32762445	66418575	36095996	68434550	67698418	68377818	58997078	62297340	31442979	54679868	58167434	67469775	32262842	71907788	64790961	66754017	69030762	70724876	69347528	66732291	69435312	68672685	67028632	74691633	65158812	63952917	70154266	64749907	64635345	70440776	69093832	71016798	70501107	70270774	66912028	71337645	65715362	63401356	65431972	78303667	71298448	79408680	72452568	72945868	77556856	59205763	56110742	69836826	67607053	67801736
N50 sequence index:	5	5	4	5	285	4	4	5	9	5	8	8	8	5	8	6	5	9	5	6	4	5	4	8	5	5	5	5	4	4	5	5	5	5	5	5	4	4	4	5	5	4	5	4	5	5	5	5	5	5	5	5	4	4	8	8	5
