	27622715.filtered.pep.faa	Bnigra_C2.v1.genes.filtered.pep.faa	Bnigra_NI100.v2.genes.filtered.pep.faa	BoleraceaHDEM_annotation.filtered.pep.faa	GCA_000751015.1_AST_PRJEB5043_v1_genomic.filtered.pep.faa	GCA_003260655.2_B_cretica_A_v2_genomic.filtered.pep.faa	GCA_003260675.2_B_cretica_D_v2_genomic.filtered.pep.faa	GCA_003434825.1_Brassica_rapa_FPsc_v1.3_genomic.filtered.pep.faa	GCA_016771965.1_ASM1677196v1_genomic.filtered.pep.faa	GCA_017639395.1_SCU_BraROA_2.3_genomic.filtered.pep.faa	GCA_038677285.1_ASM3867728v1_genomic.filtered.pep.faa	GCA_040550855.1_C4012_genomic.filtered.pep.faa	GCA_040584065.1_ASM4058406v1_genomic.filtered.pep.faa	GCA_900412535.3_brapa_z1_v2_genomic.filtered.pep.faa	GCA_905183035.1_bnapus_darmor_bzh_v10_genomic.filtered.pep.faa	GCF_000309985.2_CAAS_Brap_v3.01_genomic.filtered.pep.faa	GCF_000695525.1_BOL_genomic.filtered.pep.faa	GCF_020379485.1_Da-Ae_genomic.filtered.pep.faa	GWHAASO00000000.filtered.pep.faa	GWHAAZX00000000.filtered.pep.faa	GWHBJSH00000000.filtered.pep.faa	GWHBKKZ00000000.filtered.pep.faa	GWHBKLA00000000.filtered.pep.faa	GWHCAYN00000000.filtered.pep.faa	GWHDTWV00000000.filtered.pep.faa	GWHDTWX00000000.filtered.pep.faa	GWHDTYA00000000.filtered.pep.faa	GWHDTYD00000000.filtered.pep.faa	GWHDTYE00000000.filtered.pep.faa	GWHDTYG00000000.filtered.pep.faa	GWHDTYH00000000.filtered.pep.faa	GWHDTYJ00000000.filtered.pep.faa	GWHDTYK00000000.filtered.pep.faa	GWHDTYL00000000.filtered.pep.faa	GWHDTYM00000000.filtered.pep.faa	GWHDTZU00000000.filtered.pep.faa	GWHDTZV00000000.filtered.pep.faa	GWHDUBH00000000.filtered.pep.faa	GWHDUBI00000000.filtered.pep.faa	GWHDUBJ00000000.filtered.pep.faa	GWHDUBL00000000.filtered.pep.faa	GWHDUBM00000000.filtered.pep.faa	GWHDUBP00000000.filtered.pep.faa	GWHDUBR00000000.filtered.pep.faa	GWHDUBS00000000.filtered.pep.faa	GWHDUBT00000000.filtered.pep.faa	GWHEQVE00000000.filtered.pep.faa	GWHEQVJ00000000.filtered.pep.faa	GWHEQVL00000000.filtered.pep.faa	GWHEQVM00000000.filtered.pep.faa	GWHEQVN00000000.filtered.pep.faa	GWHEQVO00000000.filtered.pep.faa	GWHERGL00000000.filtered.pep.faa	GWHERGM00000000.filtered.pep.faa	GWHFIKA00000000.1.filtered.pep.faa	GWHFQTP00000000.1.filtered.pep.faa	OX_heart.filtered.pep.faa
Number of sequences:	60250	65439	58814	59254	54175	63131	62722	39696	96708	43070	124769	103731	102246	51245	105723	41359	43679	90785	59060	45960	57983	53879	59398	86338	53330	52455	52963	51824	52323	52557	53402	51047	50938	52658	50754	51551	52874	53408	52606	52055	52704	53089	54905	52713	51515	50342	52872	53133	51763	52848	52139	52059	49083	49108	84648	95205	61869
Total sequence length:	18825269	21103665	20376005	19011283	18536688	18186390	17260975	15306363	32309757	17602018	40109787	35669124	35965518	17833490	36142823	17343353	17493975	37303284	22679325	18510138	20109726	19546199	20316234	36811090	19034900	19007726	18857259	18565571	18751934	18832894	19008306	18045204	18135746	19173258	18060870	18336909	18949323	18947440	18915463	18662248	18913903	19060766	19375265	18820472	18610201	17836136	18221632	18533543	18269922	18157165	18282500	18062958	19182443	18073832	29780858	34792525	18953660
Average sequence length:	312.45259751037344	322.49369641956633	346.4482096099568	320.8438755189523	342.1631379787725	288.07384644627837	275.1980963617232	385.58955562273275	334.09601067129915	408.6839563501277	321.47237695260844	343.8617578158892	351.7547679126812	348.0044882427554	341.86338828826274	419.3368553398293	400.5122598960599	410.89699840281986	384.00482560108367	402.7445169712794	346.8210682441405	362.77954305016794	342.03565776625476	426.36023535407355	356.92668291768234	362.36252025545707	356.04589996790213	358.24272537820315	358.38797469564054	358.332743497536	355.9474551514925	353.50175328618724	356.03569044721036	364.10911922215047	355.8511644402412	355.70423464142306	358.38640919922835	354.76782504493707	359.5685473139946	358.51019114398235	358.87035139647844	359.03418787319407	352.8870776796285	357.03663232978585	361.25790546442784	354.29931270112434	344.63670752004845	348.81416445523496	352.9533064157796	343.5733613381774	350.6492261071367	346.9708984037342	390.8164333883422	368.04251853058565	351.81998393346566	365.4485058557849	306.35148458840456
Std. dev. sequence length:	269.21615665876374	277.2480628981538	305.55054270516666	279.7115304418697	269.049550152426	254.51655514375986	245.3971307008402	273.16132997445663	268.8849666684526	334.73158076121285	285.87533557797923	284.16326245756136	286.9101761560251	298.85701707447527	288.449676568545	292.60077873994885	281.2613902111331	289.94744747641704	276.5800005583382	293.07621181096636	277.65923749575103	290.5403208600809	282.50511150445254	350.55290783767464	283.01782051729896	288.68075180380777	283.42910149624856	284.8884056420926	285.2925777893337	284.101913666903	282.3366756861317	280.41889855251907	283.2593181506093	289.3082209429453	281.2044446017766	280.8503787051455	285.5739280847272	282.902718799585	285.28175840271405	283.66349249290175	285.5910198689101	288.34502031463575	281.66985681707564	283.2132347065023	286.6875023980191	280.26076666805176	274.8987824524695	275.76529127136985	276.87543316314674	272.57980057867303	277.60377704594475	274.2656941839188	303.57653195952435	286.887968638047	295.19041393737945	325.63509662275743	269.31743151045384
Minimum sequence length:	49	49	49	49	49	49	49	49	49	51	49	49	49	49	49	42	37	37	50	49	100	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49
Maximum sequence length:	5364	5371	5371	5078	5076	4967	4115	5374	4154	5374	9613	5371	5371	5375	5375	5374	5364	5374	5403	5376	5364	5361	5363	5374	5360	5361	5360	5361	5361	5356	5364	5360	5360	5361	5361	5361	5364	5362	5312	5361	5364	5364	5077	5361	5361	5360	5367	5363	5367	5364	5363	5367	5374	5374	5401	5374	5364
Median sequence length:	234.0	247.0	262.0	242.0	278.0	208.0	197.0	333.0	265.0	327.0	241.0	273.0	283.0	272.0	267.0	357.0	338.0	346.0	317.0	335.0	267.0	292.0	271.0	337.0	289.0	292.0	287.0	290.0	289.0	288.0	289.0	285.0	287.0	294.0	290.0	289.0	289.0	285.0	289.0	290.0	290.0	287.0	283.0	288.0	292.0	288.5	283.0	288.0	291.0	282.0	289.0	286.0	320.0	306.0	278.0	286.0	224.0
N25 sequence index:	4816	5207	4542	4675	4754	4861	4728	3880	8241	3594	9671	8702	8702	4107	8605	4060	4249	8780	5576	4327	4913	4610	4945	6804	4642	4536	4591	4491	4529	4565	4652	4450	4428	4559	4450	4524	4576	4630	4589	4550	4573	4563	4715	4587	4489	4406	4643	4714	4610	4656	4610	4616	4292	4367	6934	7426	4833
N25 sequence length:	684	705	778	716	700	651	627	716	693	862	718	725	737	764	743	773	740	766	725	769	710	752	726	964	723	738	725	725	734	729	721	719	727	741	718	717	732	725	735	725	729	741	724	726	731	710	694	693	702	688	702	693	805	746	750	778	681
N50 sequence index:	13583	14789	13056	13192	13115	13823	13605	10520	22948	10141	27679	24310	24188	11617	24182	11142	11675	24212	15455	11951	14022	12945	13901	19792	12991	12720	12822	12609	12665	12743	12978	12404	12341	12766	12409	12612	12809	12906	12728	12696	12793	12728	13263	12782	12535	12322	12801	12960	12714	12851	12722	12693	11934	12056	19696	21977	13669
