	27622715.filtered.gff	GCF_000695525.1_BOL_genomic.filtered.gff	GWHBKLA00000000.filtered.gff	GWHDTWX00000000.filtered.gff	GWHDTYA00000000.filtered.gff	GWHDTYE00000000.filtered.gff	GWHDTYJ00000000.filtered.gff	GWHDTYK00000000.filtered.gff	GWHDTYL00000000.filtered.gff	GWHDUBH00000000.filtered.gff	GWHDUBI00000000.filtered.gff	GWHDUBL00000000.filtered.gff	GWHDUBP00000000.filtered.gff	GWHDUBS00000000.filtered.gff	OX_heart.filtered.gff
gene	60250.0	48486.0	59398.0	52455.0	52963.0	52323.0	51047.0	50938.0	52658.0	53408.0	52606.0	52704.0	54905.0	51515.0	61869.0
mRNA	60250.0	43602.0	59398.0	52455.0	52963.0	52323.0	51047.0	50938.0	52658.0	53408.0	52606.0	52704.0	54905.0	51515.0	61869.0
exon	271677.0	267720.0	287794.0	258296.0	257084.0	255845.0	243718.0	243822.0	259490.0	258583.0	256657.0	258497.0	267874.0	252095.0	274992.0
CDS	264028.0	215222.0	282490.0	258296.0	257084.0	255845.0	243718.0	243822.0	259490.0	258583.0	256657.0	258497.0	267874.0	252095.0	267988.0
five_prime_UTR	31968.0	41821.0	23571.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29010.0
three_prime_UTR	29559.0	36402.0	21896.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26093.0
region	0.0	459.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pseudogene	0.0	4434.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RNA	0.0	4409.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
lnc_RNA	0.0	3917.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tRNA	0.0	967.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript	0.0	922.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
