	GWHBJSH00000000.filtered.gff	GWHBKKZ00000000.filtered.gff	GWHDTYM00000000.filtered.gff
gene	57983.0	53879.0	50754.0
mRNA	97195.0	53879.0	50754.0
CDS	547552.0	251089.0	242478.0
exon	624778.0	251089.0	242478.0
five_prime_UTR	108127.0	0.0	0.0
three_prime_UTR	97427.0	0.0	0.0
