	BoleraceaHDEM_annotation.filtered.gff	GCF_000695525.1_BOL_genomic.filtered.gff	GWHAASO00000000.filtered.gff	GWHBKKZ00000000.filtered.gff	GWHBKLA00000000.filtered.gff	GWHDTWV00000000.filtered.gff	GWHDTWX00000000.filtered.gff	GWHDTYA00000000.filtered.gff	GWHDTYD00000000.filtered.gff	GWHDTYG00000000.filtered.gff	GWHDTYH00000000.filtered.gff	GWHDTYK00000000.filtered.gff	GWHDTYL00000000.filtered.gff	GWHDTYM00000000.filtered.gff	GWHDUBI00000000.filtered.gff	GWHDUBJ00000000.filtered.gff	GWHDUBL00000000.filtered.gff	GWHDUBP00000000.filtered.gff	GWHEQVE00000000.filtered.gff	GWHEQVJ00000000.filtered.gff	GWHEQVL00000000.filtered.gff	GWHEQVM00000000.filtered.gff	GWHEQVN00000000.filtered.gff	GWHEQVO00000000.filtered.gff	OX_heart.filtered.gff
mRNA	61279.0	56685.0	59064.0	53879.0	59398.0	53334.0	52455.0	52966.0	51826.0	52557.0	53403.0	50938.0	52658.0	50754.0	52606.0	52057.0	52705.0	54905.0	52928.0	53192.0	51831.0	52913.0	52206.0	52059.0	68277.0
CDS	263525.0	305897.0	293551.0	251089.0	282490.0	260188.0	258296.0	257090.0	253333.0	255220.0	260654.0	243822.0	259490.0	242478.0	256657.0	254261.0	258499.0	267874.0	233315.0	237399.0	236608.0	235576.0	237146.0	231684.0	309886.0
region	0.0	32886.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pseudogene	0.0	4495.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
exon	0.0	398922.0	0.0	251089.0	287794.0	260188.0	258296.0	257090.0	253333.0	255220.0	260654.0	243822.0	259490.0	242478.0	256657.0	254261.0	258499.0	267874.0	233315.0	237399.0	236608.0	235576.0	237146.0	231684.0	320928.0
gene	0.0	49563.0	59064.0	53879.0	59398.0	53334.0	52455.0	52966.0	51826.0	52557.0	53403.0	50938.0	52658.0	50754.0	52606.0	52057.0	52705.0	54905.0	52928.0	53192.0	51831.0	52913.0	52206.0	52059.0	62232.0
lnc_RNA	0.0	7942.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tRNA	0.0	995.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript	0.0	2089.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cDNA_match	0.0	5906.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
inverted_repeat	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
direct_repeat	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rRNA	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sequence_feature	0.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
five_prime_UTR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38262.0
three_prime_UTR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33465.0
