	BoleraceaHDEM_annotation.filtered.gff	GCF_000695525.1_BOL_genomic.filtered.gff	GWHAASO00000000.filtered.gff	GWHBKKZ00000000.filtered.gff	GWHBKLA00000000.filtered.gff	GWHDTWV00000000.filtered.gff	GWHDTWX00000000.filtered.gff	GWHDTYA00000000.filtered.gff	GWHDTYD00000000.filtered.gff	GWHDTYG00000000.filtered.gff	GWHDTYH00000000.filtered.gff	GWHDTYK00000000.filtered.gff	GWHDTYL00000000.filtered.gff	GWHDTYM00000000.filtered.gff	GWHDUBI00000000.filtered.gff	GWHDUBJ00000000.filtered.gff	GWHDUBL00000000.filtered.gff	GWHDUBP00000000.filtered.gff	GWHEQVE00000000.filtered.gff	GWHEQVJ00000000.filtered.gff	GWHEQVL00000000.filtered.gff	GWHEQVM00000000.filtered.gff	GWHEQVN00000000.filtered.gff	GWHEQVO00000000.filtered.gff	OX_heart.filtered.gff
gene	59254.0	48584.0	59060.0	53879.0	59398.0	53330.0	52455.0	52963.0	51824.0	52557.0	53402.0	50938.0	52658.0	50754.0	52606.0	52055.0	52704.0	54905.0	52872.0	53133.0	51763.0	52848.0	52139.0	52059.0	61869.0
mRNA	59254.0	43679.0	59060.0	53879.0	59398.0	53330.0	52455.0	52963.0	51824.0	52557.0	53402.0	50938.0	52658.0	50754.0	52606.0	52055.0	52704.0	54905.0	52872.0	53133.0	51763.0	52848.0	52139.0	52059.0	61869.0
exon	260584.0	267841.0	293273.0	251089.0	287794.0	260180.0	258296.0	257084.0	253328.0	255220.0	260652.0	243822.0	259490.0	242478.0	256657.0	254257.0	258497.0	267874.0	233251.0	237328.0	236529.0	235496.0	237065.0	231684.0	274992.0
CDS	260584.0	215322.0	293273.0	251089.0	282490.0	260180.0	258296.0	257084.0	253328.0	255220.0	260652.0	243822.0	259490.0	242478.0	256657.0	254257.0	258497.0	267874.0	233251.0	237328.0	236529.0	235496.0	237065.0	231684.0	267988.0
region	0.0	460.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
inverted_repeat	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tRNA	0.0	985.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rRNA	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sequence_feature	0.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pseudogene	0.0	4434.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RNA	0.0	4409.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
five_prime_UTR	0.0	41821.0	0.0	0.0	23571.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29010.0
three_prime_UTR	0.0	36402.0	0.0	0.0	21896.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26093.0
lnc_RNA	0.0	3917.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript	0.0	922.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
