	27622715.filtered	Bnigra_C2.v1.genes.filtered	Bnigra_NI100.v2.genes.filtered	BoleraceaHDEM_annotation.filtered	GCA_000751015.1_AST_PRJEB5043_v1_genomic.filtered	GCA_003260655.2_B_cretica_A_v2_genomic.filtered	GCA_003260675.2_B_cretica_D_v2_genomic.filtered	GCA_003434825.1_Brassica_rapa_FPsc_v1.3_genomic.filtered	GCA_016771965.1_ASM1677196v1_genomic.filtered	GCA_017639395.1_SCU_BraROA_2.3_genomic.filtered	GCA_038677285.1_ASM3867728v1_genomic.filtered	GCA_040550855.1_C4012_genomic.filtered	GCA_040584065.1_ASM4058406v1_genomic.filtered	GCA_900412535.3_brapa_z1_v2_genomic.filtered	GCA_905183035.1_bnapus_darmor_bzh_v10_genomic.filtered	GCF_000309985.2_CAAS_Brap_v3.01_genomic.filtered	GCF_000695525.1_BOL_genomic.filtered	GCF_020379485.1_Da-Ae_genomic.filtered	GWHAASO00000000.filtered	GWHAAZX00000000.filtered	GWHBJSH00000000.filtered	GWHBKKZ00000000.filtered	GWHBKLA00000000.filtered	GWHCAYN00000000.filtered	GWHDTWV00000000.filtered	GWHDTWX00000000.filtered	GWHDTYA00000000.filtered	GWHDTYD00000000.filtered	GWHDTYE00000000.filtered	GWHDTYG00000000.filtered	GWHDTYH00000000.filtered	GWHDTYJ00000000.filtered	GWHDTYK00000000.filtered	GWHDTYL00000000.filtered	GWHDTYM00000000.filtered	GWHDTZU00000000.filtered	GWHDTZV00000000.filtered	GWHDUBH00000000.filtered	GWHDUBI00000000.filtered	GWHDUBJ00000000.filtered	GWHDUBL00000000.filtered	GWHDUBM00000000.filtered	GWHDUBP00000000.filtered	GWHDUBR00000000.filtered	GWHDUBS00000000.filtered	GWHDUBT00000000.filtered	GWHEQVE00000000.filtered	GWHEQVJ00000000.filtered	GWHEQVL00000000.filtered	GWHEQVM00000000.filtered	GWHEQVN00000000.filtered	GWHEQVO00000000.filtered	GWHERGL00000000.filtered	GWHERGM00000000.filtered	GWHFIKA00000000.1.filtered	GWHFQTP00000000.1.filtered	OX_heart.filtered
Number of gene	60250.0	65439.0	58814.0	59254.0	2901.0	63131.0	62722.0	39696.0	96708.0	22806.0	124769.0	103715.0	102226.0	2478.0	13588.0	1100.0	985.0	2594.0	59060.0	45960.0	57983.0	53879.0	59398.0	86338.0	53330.0	52455.0	52963.0	51824.0	52323.0	52557.0	53402.0	51047.0	50938.0	52658.0	50754.0	51551.0	52874.0	53408.0	52606.0	52055.0	52704.0	53089.0	54905.0	52713.0	51515.0	50342.0	52872.0	53133.0	51763.0	52848.0	52139.0	52059.0	49083.0	49108.0	84648.0	95205.0	61869.0
Number of mrna	60250.0	65439.0	58814.0	59254.0	99955.0	63131.0	62722.0	39696.0	96708.0	43070.0	124769.0	103731.0	102246.0	91290.0	188817.0	41359.0	43679.0	90785.0	59060.0	45960.0	57983.0	53879.0	59398.0	86338.0	53330.0	52455.0	52963.0	51824.0	52323.0	52557.0	53402.0	51047.0	50938.0	52658.0	50754.0	51551.0	52874.0	53408.0	52606.0	52055.0	52704.0	53089.0	54905.0	52713.0	51515.0	50342.0	52872.0	53133.0	51763.0	52848.0	52139.0	52059.0	49083.0	49108.0	84648.0	95205.0	61869.0
Number of mrnas with utr both sides	25783.0	0.0	0.0	0.0	1195.0	15.0	13.0	25091.0	0.0	14598.0	46033.0	0.0	0.0	337.0	8096.0	36928.0	32532.0	74891.0	0.0	1409.0	27356.0	0.0	18652.0	48668.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22800.0	26558.0	23720.0
Number of mrnas with at least one utr	28270.0	0.0	0.0	0.0	2901.0	470.0	571.0	27482.0	0.0	22806.0	54783.0	0.0	0.0	2478.0	13588.0	38436.0	36129.0	78743.0	0.0	1409.0	36138.0	0.0	21642.0	53037.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38557.0	31825.0	24543.0
Number of cds	60250.0	65439.0	58814.0	59254.0	54175.0	63131.0	62722.0	39696.0	96708.0	43070.0	124769.0	103731.0	102246.0	51245.0	105723.0	41359.0	43679.0	90785.0	59060.0	45960.0	57983.0	53879.0	59398.0	86338.0	53330.0	52455.0	52963.0	51824.0	52323.0	52557.0	53402.0	51047.0	50938.0	52658.0	50754.0	51551.0	52874.0	53408.0	52606.0	52055.0	52704.0	53089.0	54905.0	52713.0	51515.0	50342.0	52872.0	53133.0	51763.0	52848.0	52139.0	52059.0	49083.0	49108.0	84648.0	95205.0	61869.0
Number of exon	271677.0	289983.0	258252.0	260584.0	4603.0	251235.0	240988.0	204126.0	445096.0	47667.0	566605.0	474211.0	474211.0	3339.0	24466.0	1172.0	1044.0	2759.0	293273.0	242640.0	295849.0	251089.0	287794.0	442292.0	260180.0	258296.0	257084.0	253328.0	255845.0	255220.0	260652.0	243718.0	243822.0	259490.0	242478.0	245512.0	257746.0	258583.0	256657.0	254257.0	258497.0	259281.0	267874.0	257747.0	252095.0	239604.0	233251.0	237328.0	236529.0	235496.0	237065.0	231684.0	236859.0	238268.0	422146.0	486289.0	274992.0
Number of five_prime_utr	26390.0	0.0	0.0	0.0	1807.0	226.0	240.0	26107.0	0.0	18037.0	48660.0	0.0	0.0	1379.0	10871.0	37259.0	34228.0	75979.0	0.0	1409.0	30212.0	0.0	19614.0	50331.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28724.0	27753.0	23786.0
Number of three_prime_utr	27663.0	0.0	0.0	0.0	2289.0	259.0	344.0	26466.0	0.0	19367.0	52156.0	0.0	0.0	1436.0	10813.0	38105.0	34433.0	77655.0	0.0	1409.0	33282.0	0.0	20680.0	51374.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32633.0	30630.0	24477.0
Number of exon in cds	264028.0	289983.0	258252.0	260584.0	271437.0	250612.0	240171.0	196733.0	445096.0	246668.0	547219.0	474211.0	474211.0	237681.0	488332.0	208245.0	215322.0	439847.0	293273.0	242640.0	270667.0	251089.0	282490.0	428431.0	260180.0	258296.0	257084.0	253328.0	255845.0	255220.0	260652.0	243718.0	243822.0	259490.0	242478.0	245512.0	257746.0	258583.0	256657.0	254257.0	258497.0	259281.0	267874.0	257747.0	252095.0	239604.0	233251.0	237328.0	236529.0	235496.0	237065.0	231684.0	236859.0	238268.0	413484.0	478728.0	267988.0
Number of exon in five_prime_utr	31968.0	0.0	0.0	0.0	2221.0	637.0	741.0	31758.0	0.0	23472.0	61891.0	0.0	0.0	1632.0	12296.0	45963.0	41821.0	92575.0	0.0	1409.0	44596.0	0.0	23571.0	60196.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34821.0	32687.0	29010.0
