Homology group node id,class,Genome 1,Genome 10,Genome 11,Genome 12,Genome 13,Genome 14,Genome 15,Genome 16,Genome 2,Genome 3,Genome 4,Genome 5,Genome 6,Genome 7,Genome 8,Genome 9
60275,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
829803,core,2,1,2,2,2,2,2,1,1,2,2,3,2,2,2,2
829806,core,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
829807,core,2,2,1,2,1,1,1,2,1,1,2,2,2,1,1,2
829809,core,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1
829820,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
829821,core,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
829822,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
829823,core,2,2,2,2,2,3,1,2,1,2,2,2,2,2,2,2
829824,core,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,1
829825,core,1,2,1,1,1,3,2,2,1,2,2,1,2,3,3,1
829832,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
829833,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
829839,core,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
829844,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
829845,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
829846,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
829848,core,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3
829849,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
829863,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
829867,core,3,3,3,3,3,3,3,2,1,3,2,3,3,3,3,3
829869,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
829871,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
829874,core,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,5
829875,core,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3
829892,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
829894,core,4,4,4,4,4,5,4,4,1,4,3,4,4,4,4,4
829895,core,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
829914,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
829921,core,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2
829931,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
829932,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
829933,core,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
829934,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
829939,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
829949,core,11,13,13,12,13,13,13,9,7,14,13,13,14,14,13,13
829950,core,11,12,12,13,14,15,13,10,10,12,12,11,12,12,13,13
829951,core,14,14,10,12,12,10,12,15,8,14,11,12,11,12,13,13
829952,core,12,12,1,11,12,12,11,10,8,15,13,14,11,14,13,10
829954,core,12,9,8,10,13,10,5,14,3,9,13,11,8,11,10,5
829957,core,7,9,9,9,9,9,9,8,5,9,9,8,9,9,9,9
829960,core,6,8,8,8,8,9,8,5,3,7,7,7,7,7,7,8
829961,core,8,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7
829963,core,7,7,7,7,7,5,7,6,3,6,7,8,9,8,8,7
829964,core,7,9,6,6,6,9,6,6,2,7,7,8,7,8,7,7
829968,core,6,6,6,6,6,6,7,7,5,7,5,6,7,6,6,7
829970,core,6,6,4,6,6,6,6,7,4,7,5,6,6,6,6,6
829972,core,6,6,5,6,6,6,6,6,2,6,6,6,6,6,6,6
829973,core,6,5,6,6,6,6,5,6,3,6,6,5,6,6,6,6
829974,core,2,7,6,7,5,8,8,1,1,5,6,6,6,8,7,6
829975,core,4,6,6,6,7,6,5,5,2,5,6,6,6,6,6,6
829977,core,5,6,5,6,5,6,6,6,3,6,3,6,6,6,6,6
829978,core,4,6,5,6,5,5,5,5,3,6,6,6,6,6,6,6
829979,core,4,6,5,5,6,7,5,6,3,6,6,5,4,4,6,5
829981,core,5,5,5,5,5,5,5,6,2,6,5,5,5,6,5,5
829984,core,5,4,4,6,5,4,5,5,3,5,6,6,6,4,4,5
829985,core,7,5,6,5,5,4,3,7,2,7,4,4,5,3,6,4
829986,core,5,5,5,5,5,5,5,3,2,6,5,5,5,5,5,5
829987,core,6,5,5,5,5,5,6,5,2,4,5,5,5,5,5,3
829988,core,5,4,5,5,5,5,5,4,4,5,4,5,5,5,5,5
829990,core,4,5,4,5,5,7,4,5,1,5,5,5,5,5,5,5
829991,core,4,4,5,5,5,5,4,5,3,5,5,5,5,5,5,5
829994,core,4,5,5,5,5,5,5,2,2,5,5,5,5,6,5,5
829995,core,3,5,6,5,5,7,3,5,3,3,3,6,6,4,5,5
829997,core,6,6,4,4,3,5,5,5,1,4,3,4,5,5,6,7
829998,core,5,4,5,5,5,5,4,4,2,4,5,5,4,5,5,6
829999,core,6,5,5,1,1,4,5,6,3,6,5,4,5,4,6,6
830000,core,5,4,5,4,5,4,6,5,3,5,4,4,5,4,4,4
830002,core,5,3,5,5,5,5,2,5,4,4,4,5,5,5,5,3
830003,core,4,5,4,4,5,4,3,5,3,5,5,5,4,5,5,3
830004,core,6,4,5,4,5,5,4,6,1,4,3,4,4,4,5,4
830006,core,3,5,5,3,4,6,5,3,2,4,4,4,5,4,5,6
830009,core,4,4,4,4,4,5,4,4,2,4,4,4,4,4,4,4
830010,core,4,4,5,4,4,5,4,3,2,4,3,5,4,4,4,4
830011,core,4,4,4,4,4,5,4,4,1,4,4,4,4,4,4,4
830012,core,3,4,4,4,4,4,4,3,3,5,4,4,4,4,4,4
830013,core,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4
830015,core,4,4,4,4,4,5,4,4,1,3,4,4,4,4,4,4
830017,core,3,4,4,4,4,4,4,4,2,4,3,4,4,4,4,4
830018,core,3,4,4,4,4,4,4,4,2,4,4,4,4,4,3,4
830019,core,3,4,4,4,3,4,4,4,2,4,4,4,4,4,4,4
830021,core,4,4,4,4,4,4,4,3,2,4,3,4,4,4,4,4
830022,core,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,1
830023,core,3,4,4,4,4,4,4,4,1,4,3,4,4,3,4,4
830024,core,4,4,2,6,6,3,1,5,1,2,4,4,4,4,5,3
830025,core,3,4,4,3,3,4,4,4,2,3,4,4,4,5,3,4
830026,core,3,4,4,4,4,4,4,3,1,4,4,3,4,4,4,3
830029,core,4,4,4,4,4,4,4,3,1,3,3,4,4,4,4,3
830030,core,4,4,3,4,3,4,4,4,2,4,1,5,4,3,4,4
830036,core,4,2,4,2,3,5,3,4,3,3,4,3,4,3,4,4
830039,core,6,3,3,3,3,2,3,6,3,6,4,2,2,3,2,3
830040,core,2,3,3,4,4,4,4,3,2,3,3,4,4,3,4,4
830041,core,3,3,4,4,4,4,3,4,1,4,2,4,3,3,4,4
830042,core,4,3,4,3,4,4,4,4,1,4,3,3,3,3,3,4
830043,core,3,3,3,5,4,4,3,4,2,3,3,5,3,1,3,5
830045,core,4,2,4,4,2,3,4,3,2,3,4,3,4,4,3,4
830046,core,4,3,3,3,4,3,3,4,1,4,4,4,3,4,3,3
830047,core,5,3,4,3,3,3,3,3,2,3,4,3,3,3,3,5
830049,core,4,4,4,3,4,5,4,4,2,3,3,1,2,4,4,1
830050,core,2,3,3,3,3,2,3,2,5,3,4,5,2,3,4,4
830052,core,4,4,3,3,3,3,4,4,1,3,3,3,3,4,3,3
830055,core,3,3,3,2,3,3,3,4,3,3,4,3,3,3,3,3
830056,core,3,3,3,3,4,3,3,2,2,3,3,4,4,3,3,3
830057,core,3,3,3,3,3,3,3,3,2,4,3,4,3,3,3,3
830058,core,4,3,3,3,3,3,3,3,2,4,3,3,3,3,3,3
830059,core,5,3,2,5,3,3,3,3,2,2,3,2,3,3,3,3
830062,core,3,3,3,3,3,4,3,3,2,3,3,3,3,3,3,3
830063,core,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
830065,core,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
830066,core,3,3,3,3,4,3,3,2,2,3,3,3,3,3,3,3
830067,core,3,3,4,3,3,4,3,3,1,3,3,3,3,2,3,3
830068,core,2,3,3,3,4,4,3,2,1,3,3,3,3,3,4,3
830070,core,3,3,3,3,3,3,3,3,1,3,3,3,4,3,3,3
830071,core,3,1,3,3,3,5,6,3,1,3,3,3,3,3,3,1
830072,core,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
830073,core,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
830074,core,3,3,3,3,3,3,3,3,1,3,3,3,3,3,4,3
830075,core,3,3,3,3,3,3,3,3,1,3,3,3,3,3,4,3
830079,core,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3
830080,core,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3
830081,core,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3
830082,core,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3
830083,core,3,3,3,3,3,4,3,3,1,2,3,3,3,3,3,3
830084,core,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3
830085,core,3,3,3,3,3,4,3,3,1,3,3,2,3,3,3,3
830086,core,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3
830087,core,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3
830088,core,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3
830090,core,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3
830091,core,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3
830092,core,3,3,3,3,3,4,3,2,1,3,3,3,3,3,3,3
830093,core,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3
830094,core,3,3,3,3,3,5,2,3,1,2,3,3,3,3,3,3
830095,core,3,3,3,3,3,3,3,2,1,3,3,3,3,3,3,3
830096,core,3,3,3,3,3,3,3,2,1,3,3,3,3,3,3,3
830098,core,3,3,3,2,2,3,3,4,1,3,3,3,2,4,3,3
830099,core,3,3,3,3,3,3,3,2,1,3,3,3,3,3,3,3
830101,core,3,3,3,3,3,3,3,2,1,3,3,3,3,3,3,3
830102,core,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,1
